userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,version,minHeartRate,maxHeartRate,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,minAvgHeartRate,maxAvgHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp
96200873,2021-05-30,d529585474004b829d3575daea0830fa,86400000,2098,0,2098,2098,2098,2098,0,0,10000,0,0,2021-05-30T07:00:00.0,2021-05-31T07:00:00.0,2021-05-30T00:00:00.0,2021-05-31T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-05-30,TOTAL,-2,-2,0,0,0,175,175,0,0,0,10500,0,10500,0,0,0,AWAKE,-2,-2,0,0,0,175,175,0,0,0,10500,0,10500,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-05-31,10d49af87416468cb746887b0643eec6,86400000,2490,392,2098,2490,2490,2490,392,4432,10000,6228,6228,2021-05-31T07:00:00.0,2021-06-01T07:00:00.0,2021-05-31T00:00:00.0,2021-06-01T00:00:00.0,1680,0,1,28,150,10,true,true,false,false,false,false,false,0,96200873,2021-05-31,TOTAL,29,22,57,3,962,471,1436,39,60,120,28260,57720,86160,0,60,0,AWAKE,29,22,57,3,962,471,1436,39,60,120,28260,57720,86160,0,60,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35040002,72,193,96200873,2021-05-31,0,15,1,HIGHEST,44,RESET,2021-05-31T21:29:00.0,LOWEST,29,MEASURED,2021-05-31T22:03:00.0,MOSTRECENT,29,MEASURED,2021-05-31T22:07:00.0,73,192,,,,,,,
96200873,2021-06-01,5b56d239a7a4427f9d0f663b6aa25d99,86400000,2098,0,2098,2098,2098,2098,0,0,8890,0,0,2021-06-01T07:00:00.0,2021-06-02T07:00:00.0,2021-06-01T00:00:00.0,2021-06-02T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-01,TOTAL,-1,-1,0,0,1430,0,1430,0,0,0,0,85800,85800,0,0,0,AWAKE,-1,-1,0,0,1430,0,1430,0,0,0,0,85800,85800,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-02,71ab25433e8f4998aa7fc7ca47440169,86400000,2482,384,2098,2482,2482,2482,384,4571,8890,6387,6387,2021-06-02T07:00:00.0,2021-06-03T07:00:00.0,2021-06-02T00:00:00.0,2021-06-03T00:00:00.0,1680,60,2,27,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-02,TOTAL,24,24,24,1,1409,28,1438,5,0,60,1680,84540,86280,0,0,0,AWAKE,24,24,24,1,1409,28,1438,5,0,60,1680,84540,86280,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,195,96200873,2021-06-02,0,15,1,HIGHEST,82,RESET,2021-06-02T14:28:00.0,LOWEST,67,MEASURED,2021-06-02T14:57:00.0,MOSTRECENT,67,MEASURED,2021-06-02T15:01:00.0,77,194,,,,,,,
96200873,2021-06-03,da60bba2f61d4a78bf5ddf25afe01bae,86400000,2098,0,2098,2098,2098,2098,0,0,8030,0,0,2021-06-03T07:00:00.0,2021-06-04T07:00:00.0,2021-06-03T00:00:00.0,2021-06-04T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-03,TOTAL,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,AWAKE,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-04,30e1ffcf4dc746adbac0e84f4b720b0c,86400000,2531,433,2098,2531,2531,2531,433,6411,8030,8133,8133,2021-06-04T07:00:00.0,2021-06-05T07:00:00.0,2021-06-04T00:00:00.0,2021-06-05T00:00:00.0,1800,1495,2,28,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-04,TOTAL,30,24,75,13,1376,46,1435,97,300,480,2760,82560,86100,180,120,0,AWAKE,30,24,75,13,1376,46,1435,97,300,480,2760,82560,86100,180,120,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,190,96200873,2021-06-04,2,40,1,HIGHEST,73,RESET,2021-06-04T15:57:00.0,LOWEST,35,MEASURED,2021-06-04T22:28:00.0,MOSTRECENT,35,MEASURED,2021-06-04T22:33:00.0,61,190,,,,,,,
96200873,2021-06-05,5af4b7d21eb3481389eae9337a9ee6dc,86400000,2886,788,2098,2886,2886,2886,788,9785,7710,12850,12850,2021-06-05T07:00:00.0,2021-06-06T07:00:00.0,2021-06-05T00:00:00.0,2021-06-06T00:00:00.0,3780,0,2,63,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-05,TOTAL,-1,-1,0,0,1321,62,1383,0,0,0,3720,79260,82980,0,0,0,AWAKE,-1,-1,0,0,1321,62,1383,0,0,0,3720,79260,82980,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61620002,109,180,96200873,2021-06-05,0,23,1,HIGHEST,73,RESET,2021-06-05T16:00:00.0,LOWEST,50,MEASURED,2021-06-05T17:03:00.0,MOSTRECENT,50,MEASURED,2021-06-05T17:08:00.0,109,179,,,,,,,
96200873,2021-06-06,cad62ef39a2940f0b8b22d7079e50b09,86400000,2098,0,2098,2098,2098,2098,0,0,7920,0,0,2021-06-06T07:00:00.0,2021-06-07T07:00:00.0,2021-06-06T00:00:00.0,2021-06-07T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-06,TOTAL,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,AWAKE,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-07,6f41490bd6f844f3b92fa7f075d3f60e,86400000,2481,383,2098,2481,2481,2481,383,4547,7920,6375,6375,2021-06-07T07:00:00.0,2021-06-08T07:00:00.0,2021-06-07T00:00:00.0,2021-06-08T00:00:00.0,1725,15,1,27,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-07,TOTAL,25,25,25,1,1410,29,1440,1,0,60,1740,84600,86400,0,0,0,AWAKE,25,25,25,1,1410,29,1440,1,0,60,1740,84600,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,190,96200873,2021-06-07,0,8,1,HIGHEST,43,RESET,2021-06-07T21:46:00.0,LOWEST,35,MEASURED,2021-06-07T22:13:00.0,MOSTRECENT,35,MEASURED,2021-06-07T22:19:00.0,74,190,,,,,,,
96200873,2021-06-08,8e5fa4ec0a6146058950a3388e87566d,86400000,2656,558,2098,2656,2656,2656,558,6636,7590,8692,8692,2021-06-08T07:00:00.0,2021-06-09T07:00:00.0,2021-06-08T00:00:00.0,2021-06-09T00:00:00.0,2550,60,2,41,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-08,TOTAL,74,73,81,3,1390,42,1435,-196,180,0,2520,83400,86100,0,120,60,AWAKE,74,73,81,3,1390,42,1435,-196,180,0,2520,83400,86100,0,120,60,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,180,96200873,2021-06-08,0,10,1,HIGHEST,45,RESET,2021-06-08T21:22:00.0,LOWEST,35,MEASURED,2021-06-08T22:08:00.0,MOSTRECENT,35,MEASURED,2021-06-08T22:14:00.0,94,179,,,,,,,
