userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,version,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,minAvgHeartRate,maxAvgHeartRate,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/totalDuration,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,restingCaloriesFromActivity
96200873,2021-11-09,795dea4b7d9541de96c5c773fd27ead1,86400000,2098,0,2098,2098,2098,2098,0,0,11330,0,0,2021-11-09T08:00:00.0,2021-11-10T08:00:00.0,2021-11-09T00:00:00.0,2021-11-10T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-09,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-10,a91bd51fea8b434ea8bbf96c0e09c6e3,86400000,2098,0,2098,2098,2098,2098,0,0,11330,0,0,2021-11-10T08:00:00.0,2021-11-11T08:00:00.0,2021-11-10T00:00:00.0,2021-11-11T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-10,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-11,53b09aab0e184e0d95568e3ff826afc3,86400000,2098,0,2098,2098,2098,2098,0,0,11330,0,0,2021-11-11T08:00:00.0,2021-11-12T08:00:00.0,2021-11-11T00:00:00.0,2021-11-12T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-11,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-12,5cd644f161b94351aef09bbb2b2b30b2,86400000,2570,472,2098,2570,2570,2570,472,7428,11330,7745,7745,2021-11-12T08:00:00.0,2021-11-13T08:00:00.0,2021-11-12T00:00:00.0,2021-11-13T00:00:00.0,1440,4050,6,22,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-12,TOTAL,30,23,954,1439,57240,86340,AWAKE,30,23,954,1439,57240,86340,ASLEEP,-2,-2,2,49,176,60,60,1636790400000,90,390,95,3542,11340,12060,5700,7080,3480,780,90,390,95,3542,11340,12060,5700,7080,3480,780,96200873,2021-11-12,14,40,1,HIGHEST,84,RESET,2021-11-12T15:09:00.0,LOWEST,58,MODELED,2021-11-13T00:43:00.0,MOSTRECENT,58,MEASURED,2021-11-13T00:53:00.0,53,175,,,,,,,,,,,,,,,,,,,
96200873,2021-11-13,822789edcad44adabd0f4cf6178333f9,86400000,2098,0,2098,2098,2098,2098,0,0,10550,0,0,2021-11-13T08:00:00.0,2021-11-14T08:00:00.0,2021-11-13T00:00:00.0,2021-11-14T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-13,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-14,052aea21dbf04d7c9611acddeebd2e0b,86400000,2098,0,2098,2098,2098,2098,0,0,10550,0,0,2021-11-14T08:00:00.0,2021-11-15T08:00:00.0,2021-11-14T00:00:00.0,2021-11-15T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-14,TOTAL,-1,-1,1439,1439,86340,86340,AWAKE,-1,-1,1439,1439,86340,86340,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-15,4c184027d6864e0eb1f7d83bc0f117bb,86400000,2692,594,2098,2692,2692,2692,594,9033,10550,9970,9970,2021-11-15T08:00:00.0,2021-11-16T08:00:00.0,2021-11-15T00:00:00.0,2021-11-16T00:00:00.0,2310,3640,5,30,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-15,TOTAL,39,35,894,1437,53640,86220,AWAKE,39,35,894,1437,53640,86220,ASLEEP,-2,-2,2,57,182,64,67,1637049600000,90,438,105,-5940,17760,8520,6300,9660,7260,840,90,438,105,-5940,17760,8520,6300,9660,7260,840,96200873,2021-11-15,6,47,1,HIGHEST,84,RESET,2021-11-15T15:01:00.0,LOWEST,43,MEASURED,2021-11-16T01:23:00.0,MOSTRECENT,43,MEASURED,2021-11-16T01:39:00.0,60,180,,,,,,,,,,,,,,,,,,,
96200873,2021-11-16,52afc1dcb2324edf9bd60a20b315b30c,86400000,2098,0,2098,2098,2098,2098,0,12,10250,10,10,2021-11-16T08:00:00.0,2021-11-17T08:00:00.0,2021-11-16T00:00:00.0,2021-11-17T00:00:00.0,0,15,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-16,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-17,ff823f64db054943a7b890ffe9f7924b,86400000,2762,608,2154,2762,2762,2762,608,9369,10250,9984,9984,2021-11-17T08:00:00.0,2021-11-18T08:00:00.0,2021-11-17T00:00:00.0,2021-11-18T00:00:00.0,2160,4120,3,34,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-17,TOTAL,29,22,969,1438,58140,86280,AWAKE,29,22,969,1438,58140,86280,ASLEEP,-2,-2,2,45,176,62,60,1637222400000,90,359,110,5026,9180,12360,6600,5160,3000,1020,90,359,110,5026,9180,12360,6600,5160,3000,1020,96200873,2021-11-17,17,37,1,HIGHEST,83,RESET,2021-11-17T15:13:00.0,LOWEST,63,MEASURED,2021-11-17T23:52:00.0,MOSTRECENT,63,MEASURED,2021-11-17T23:56:00.0,51,173,,,,,,,,,,,,,,,,,,,
96200873,2021-11-18,b724d551156843ca9cd923a97d937bb6,86400000,2154,0,2154,2154,2154,2154,0,6,10080,5,5,2021-11-18T08:00:00.0,2021-11-19T08:00:00.0,2021-11-18T00:00:00.0,2021-11-19T00:00:00.0,0,60,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-18,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
