userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/highDuration
96200873,2022-05-28,9ba5d6d5978c4ce6bc5b54e7335dace1,86400000,2874,754,2120,2874,2874,2874,754,24,10714,8000,11068,11068,2022-05-28T07:00:00.0,2022-05-29T07:00:00.0,2022-05-28T00:00:00.0,2022-05-29T00:00:00.0,2985,6660,5,49,150,10,40,175,51,50,1653807600000,true,true,false,false,false,false,false,0,96200873,2022-05-28,TOTAL,18,14,88,1119,147,167,1433,51150,14880,52260,10020,8820,85980,7200,5640,2040,AWAKE,31,22,88,460,116,166,742,5987,12720,14880,9960,6960,44520,5220,5460,2040,ASLEEP,8,8,66,659,31,1,691,45163,2160,37380,60,1860,41460,1980,180,96200873,2022-05-28,84,65,1,HIGHEST,100,MEASURED,2022-05-28T10:48:00.0,LOWEST,51,MEASURED,2022-05-28T23:24:00.0,MOSTRECENT,87,MEASURED,2022-05-29T07:00:00.0,ENDOFDAY,75,MEASURED,2022-05-29T04:41:00.0,40,171,86040002,
96200873,2022-05-29,13aa0868f2dd4b3283e436e01a7d57bf,86400000,2318,198,2120,2318,2318,2318,198,,5386,8280,4411,4411,2022-05-29T07:00:00.0,2022-05-30T07:00:00.0,2022-05-29T00:00:00.0,2022-05-30T00:00:00.0,445,4875,0,0,150,10,43,113,51,49,1653894000000,true,false,false,false,false,false,false,0,96200873,2022-05-29,TOTAL,25,18,90,970,362,108,1440,28489,18540,39660,6480,21720,86400,6780,8640,3120,AWAKE,36,25,90,595,346,107,1048,495,18420,17280,6420,20760,62880,6660,8640,3120,ASLEEP,6,7,33,375,16,1,392,27994,120,22380,60,960,23520,120,,96200873,2022-05-29,33,60,1,HIGHEST,100,MEASURED,2022-05-29T08:45:00.0,LOWEST,57,MEASURED,2022-05-30T02:06:00.0,MOSTRECENT,60,MEASURED,2022-05-30T03:43:00.0,,,,,44,113,57240002,
96200873,2022-05-30,83587313e8a14a88b051b018376c6e02,86400000,2840,720,2120,2840,2840,2840,720,68,7365,7990,7676,7676,2022-05-30T07:00:00.0,2022-05-31T07:00:00.0,2022-05-30T00:00:00.0,2022-05-31T00:00:00.0,1485,5775,39,20,150,10,50,160,51,56,1653980400000,true,true,false,false,false,false,false,0,96200873,2022-05-30,TOTAL,48,42,95,469,768,202,1439,-10897,21780,6360,12120,46080,86340,8280,9720,3780,AWAKE,48,42,95,469,768,202,1439,-10897,21780,6360,12120,46080,86340,8280,9720,3780,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-05-30,16,60,1,HIGHEST,85,MODELED,2022-05-30T13:56:00.0,LOWEST,30,MEASURED,2022-05-30T23:11:00.0,MOSTRECENT,38,MEASURED,2022-05-31T02:11:00.0,,,,,51,160,30720002,
96200873,2022-05-31,64bfa39aa012436eb434957a8b785f93,86400000,2849,729,2120,2849,2849,2849,729,20,8975,7870,8647,8647,2022-05-31T07:00:00.0,2022-06-01T07:00:00.0,2022-05-31T00:00:00.0,2022-06-01T00:00:00.0,2375,7414,14,16,150,10,56,162,52,56,1654066800000,true,true,false,false,false,false,false,0,96200873,2022-05-31,TOTAL,51,46,96,412,634,392,1438,-11754,18720,6000,23520,38040,86280,5040,9420,4260,AWAKE,51,46,96,412,634,392,1438,-11754,18720,6000,23520,38040,86280,5040,9420,4260,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-05-31,10,50,1,HIGHEST,71,RESET,2022-05-31T16:20:00.0,LOWEST,22,MEASURED,2022-06-01T01:16:00.0,MOSTRECENT,31,MEASURED,2022-06-01T03:14:00.0,,,,,57,160,64080002,
96200873,2022-06-01,2f441b1c4b7a48c2be5250b4e288630b,86400000,2799,679,2120,2799,2799,2799,679,23,10735,7980,10115,10115,2022-06-01T07:00:00.0,2022-06-02T07:00:00.0,2022-06-01T00:00:00.0,2022-06-02T00:00:00.0,2220,8590,1,18,150,10,58,183,54,59,1654153200000,true,true,false,false,false,false,false,0,96200873,2022-06-01,TOTAL,52,50,92,566,144,729,1439,-19211,29760,4200,43740,8640,86340,11880,12600,5280,AWAKE,52,50,92,566,144,729,1439,-19211,29760,4200,43740,8640,86340,11880,12600,5280,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-01,3,59,1,HIGHEST,76,RESET,2022-06-01T12:33:00.0,LOWEST,20,MEASURED,2022-06-02T02:58:00.0,MOSTRECENT,20,MEASURED,2022-06-02T03:27:00.0,,,,,58,183,61920002,
96200873,2022-06-02,0672fd8c10174bf8965c3a708947f8d2,86400000,2303,183,2120,2303,2303,2303,183,,3954,8540,3238,3238,2022-06-02T07:00:00.0,2022-06-03T07:00:00.0,2022-06-02T00:00:00.0,2022-06-03T00:00:00.0,240,4595,0,0,150,10,47,107,54,53,1654239600000,true,false,false,false,false,false,false,0,96200873,2022-06-02,TOTAL,39,28,91,844,134,462,1440,-3449,32580,18060,27720,8040,86400,14280,14580,3720,AWAKE,48,43,91,674,120,462,1256,-17169,32520,7920,27720,7200,75360,14220,14580,3720,ASLEEP,5,5,28,170,14,,184,13720,60,10140,,840,11040,60,,96200873,2022-06-02,52,55,1,HIGHEST,80,RESET,2022-06-02T13:15:00.0,LOWEST,31,MEASURED,2022-06-02T23:21:00.0,MOSTRECENT,77,MEASURED,2022-06-03T07:00:00.0,ENDOFDAY,39,MEASURED,2022-06-03T03:57:00.0,47,107,1,
96200873,2022-06-03,842d6ea48be04bfab064184a701ddb2c,86400000,2382,262,2120,2382,2382,2382,262,,6756,8090,5533,5533,2022-06-03T07:00:00.0,2022-06-04T07:00:00.0,2022-06-03T00:00:00.0,2022-06-04T00:00:00.0,985,6625,0,0,150,10,42,110,53,50,1654326000000,true,false,false,false,false,false,false,0,96200873,2022-06-03,TOTAL,35,23,93,1219,91,130,1440,9881,38580,34560,7800,5460,86400,12420,20760,5400,AWAKE,48,41,93,794,72,130,996,-17658,37260,10380,7800,4320,59760,11700,20160,5400,ASLEEP,9,9,73,425,19,,444,27539,1320,24180,,1140,26640,720,600,96200873,2022-06-03,74,82,1,HIGHEST,100,MEASURED,2022-06-03T10:47:00.0,LOWEST,25,MEASURED,2022-06-04T01:25:00.0,MOSTRECENT,69,MEASURED,2022-06-04T07:00:00.0,ENDOFDAY,51,MEASURED,2022-06-04T05:10:00.0,43,108,66600002,
96200873,2022-06-04,4630afc4738746ab928291391930a8c2,86400000,2966,846,2120,2966,2966,2966,846,41,11461,7830,11667,11667,2022-06-04T07:00:00.0,2022-06-05T07:00:00.0,2022-06-04T00:00:00.0,2022-06-05T00:00:00.0,3411,5632,11,50,150,10,32,183,53,47,1654412400000,true,true,false,false,false,false,false,0,96200873,2022-06-04,TOTAL,18,14,96,512,78,842,1432,23607,6360,24360,50520,4680,85920,2220,2700,1440,AWAKE,53,49,96,115,26,841,982,-3688,5040,1860,50460,1560,58920,960,2640,1440,ASLEEP,8,8,54,397,52,1,450,27295,1320,22500,60,3120,27000,1260,60,96200873,2022-06-04,34,55,1,HIGHEST,100,MEASURED,2022-06-04T10:17:00.0,LOWEST,48,MEASURED,2022-06-04T19:30:00.0,MOSTRECENT,48,MEASURED,2022-06-04T19:33:00.0,,,,,33,182,52380002,
96200873,2022-06-05,caf41078b16544fb94c9e6c866ac8b78,86400000,2120,0,2120,2120,2120,2120,0,,0,8200,0,0,2022-06-05T07:00:00.0,2022-06-06T07:00:00.0,2022-06-05T00:00:00.0,2022-06-06T00:00:00.0,0,0,0,0,150,10,,,,,,true,false,false,false,false,false,false,0,96200873,2022-06-05,TOTAL,-2,-2,,,,1440,1440,,,,86400,,86400,,,,AWAKE,-2,-2,,,,1440,1440,,,,86400,,86400,,,,ASLEEP,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9240002,
96200873,2022-06-06,a92358b1dff64a9c9add3fd2bbbb088d,86400000,2583,463,2120,2583,2583,2583,463,24,7791,8200,7588,7728,2022-06-06T07:00:00.0,2022-06-07T07:00:00.0,2022-06-06T00:00:00.0,2022-06-07T00:00:00.0,1578,5260,3,18,150,10,54,163,54,58,1654585200000,true,true,false,false,false,false,false,0,96200873,2022-06-06,TOTAL,43,38,93,398,84,956,1438,-7224,17700,6180,57360,5040,86280,9960,5520,2220,AWAKE,43,38,93,398,84,956,1438,-7224,17700,6180,57360,5040,86280,9960,5520,2220,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-06,6,42,1,HIGHEST,81,RESET,2022-06-06T14:36:00.0,LOWEST,45,MEASURED,2022-06-07T00:16:00.0,MOSTRECENT,45,MEASURED,2022-06-07T00:22:00.0,,,,,55,163,62280002,
