userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/activityDuration
96200873,2022-09-05,92d06d0823824a068c691506fd77fde8,86400000,2966,846,2120,2966,2966,2966,846,56,19363,15030,18690,18690,2022-09-05T07:00:00.0,2022-09-06T07:00:00.0,2022-09-05T00:00:00.0,2022-09-06T00:00:00.0,8069,8435,9,44,150,10,36,167,46,47,1662447600000,true,true,false,false,false,false,false,0,96200873,2022-09-05,TOTAL,24,18,98,1045,165,228,1438,29335,22680,40020,13680,9900,86280,12240,6960,3480,AWAKE,38,31,98,504,128,228,860,-4268,19740,10500,13680,7680,51600,11460,6360,1920,ASLEEP,12,10,83,541,37,578,33603,2940,29520,2220,34680,780,600,1560,96200873,2022-09-05,67,77,1,HIGHEST,100,MEASURED,2022-09-05T11:55:00.0,LOWEST,45,MEASURED,2022-09-06T02:50:00.0,MOSTRECENT,69,MEASURED,2022-09-06T07:00:00.0,ENDOFDAY,50,MEASURED,2022-09-06T04:21:00.0,37,165,28680002,,
96200873,2022-09-06,8c6d0d04147e4e5895c2ea0552f561fa,86400000,2854,734,2120,2854,2854,2854,734,55,15354,15470,15461,15461,2022-09-06T07:00:00.0,2022-09-07T07:00:00.0,2022-09-06T00:00:00.0,2022-09-07T00:00:00.0,4680,7260,2,40,150,10,36,169,45,41,1662534000000,true,true,false,false,false,false,false,0,96200873,2022-09-06,TOTAL,16,14,90,1020,183,235,1438,47702,9360,51840,14100,10980,86280,4680,3240,1440,AWAKE,24,19,90,535,134,234,903,14306,9000,23100,14040,8040,54180,4380,3180,1440,ASLEEP,8,8,69,485,49,535,33396,360,28740,2940,32100,300,60,,96200873,2022-09-06,79,63,1,HIGHEST,100,MEASURED,2022-09-06T10:44:00.0,LOWEST,59,MEASURED,2022-09-06T16:43:00.0,MOSTRECENT,85,MEASURED,2022-09-07T07:00:00.0,ENDOFDAY,70,MEASURED,2022-09-07T04:08:00.0,36,165,68400002,1,60
96200873,2022-09-07,94a3a9b625dc46a189e8c709a3fe573d,86400000,2544,424,2120,2544,2544,2544,424,21,10344,15460,9744,9744,2022-09-07T07:00:00.0,2022-09-08T07:00:00.0,2022-09-07T00:00:00.0,2022-09-08T00:00:00.0,2055,7090,2,16,150,10,37,158,45,43,1662620400000,true,true,false,false,false,false,false,0,96200873,2022-09-07,TOTAL,25,18,90,1105,158,176,1439,31485,25080,41220,10560,9480,86340,12000,9780,3300,AWAKE,43,37,90,579,147,176,902,-9316,25080,9660,10560,8820,54120,12000,9780,3300,ASLEEP,5,6,24,526,11,537,40801,,31560,660,32220,,,,96200873,2022-09-07,58,73,1,HIGHEST,100,MEASURED,2022-09-07T08:27:00.0,LOWEST,43,MEASURED,2022-09-08T03:17:00.0,MOSTRECENT,70,MEASURED,2022-09-08T07:00:00.0,ENDOFDAY,44,MEASURED,2022-09-08T04:04:00.0,38,158,81420002,,
96200873,2022-09-08,0eec4549d2fb4b8a9830a70d1e65118e,86400000,2684,564,2120,2684,2684,2684,564,22,11483,14440,10105,10105,2022-09-08T07:00:00.0,2022-09-09T07:00:00.0,2022-09-08T00:00:00.0,2022-09-09T00:00:00.0,2025,8100,10,18,150,10,37,151,44,42,1662706800000,true,true,false,false,false,false,false,0,96200873,2022-09-08,TOTAL,22,16,93,1061,185,191,1437,38458,19740,43920,11460,11100,86220,8400,7080,4260,AWAKE,39,28,93,549,153,191,893,-2299,19620,13320,11460,9180,53580,8280,7080,4260,ASLEEP,5,5,30,512,32,544,40757,120,30600,1920,32640,120,,,96200873,2022-09-08,88,71,1,HIGHEST,100,MODELED,2022-09-08T10:14:00.0,LOWEST,51,MEASURED,2022-09-09T03:44:00.0,MOSTRECENT,87,MEASURED,2022-09-09T07:00:00.0,ENDOFDAY,60,MEASURED,2022-09-09T04:43:00.0,37,149,70260002,,
96200873,2022-09-09,d1aeb4fb2d334f9784eb55fb30702a50,86400000,2901,781,2120,2901,2901,2901,781,55,15500,13850,15523,15523,2022-09-09T07:00:00.0,2022-09-10T07:00:00.0,2022-09-09T00:00:00.0,2022-09-10T00:00:00.0,3390,8590,1,40,150,10,39,168,44,43,1662793200000,true,true,false,false,false,false,false,0,96200873,2022-09-09,TOTAL,32,22,93,1154,83,201,1438,15552,35040,34200,12060,4980,86280,12360,19920,2760,AWAKE,53,51,93,640,80,200,920,-22149,34920,3480,12000,4800,55200,12300,19860,2760,ASLEEP,7,7,57,514,3,518,37701,120,30720,180,31080,60,60,,96200873,2022-09-09,52,79,1,HIGHEST,100,MEASURED,2022-09-09T08:46:00.0,LOWEST,23,MEASURED,2022-09-10T03:22:00.0,MOSTRECENT,60,MEASURED,2022-09-10T07:00:00.0,ENDOFDAY,28,MEASURED,2022-09-10T04:24:00.0,40,168,68220002,1,60
96200873,2022-09-10,4fc7955433fe43c78ba89798de02d11d,86400000,2599,479,2120,2599,2599,2599,479,26,9956,14020,8972,8972,2022-09-10T07:00:00.0,2022-09-11T07:00:00.0,2022-09-10T00:00:00.0,2022-09-11T00:00:00.0,2890,6160,5,12,150,10,40,146,44,44,1662879600000,true,true,false,false,false,false,false,0,96200873,2022-09-10,TOTAL,25,19,92,977,260,202,1439,26001,22500,36120,12120,15600,86340,11760,8580,2160,AWAKE,43,38,92,512,241,201,954,-9068,22380,8340,12060,14460,57240,11700,8520,2160,ASLEEP,6,7,58,465,19,485,35069,120,27780,1140,29100,60,60,,96200873,2022-09-10,60,65,1,HIGHEST,100,MEASURED,2022-09-10T11:12:00.0,LOWEST,42,MEASURED,2022-09-11T01:35:00.0,MOSTRECENT,55,MEASURED,2022-09-11T07:00:00.0,ENDOFDAY,46,MEASURED,2022-09-11T05:41:00.0,41,146,84420002,1,60
96200873,2022-09-11,c7ea0ed1d911401081db3670c46d4c59,86400000,2369,249,2120,2369,2369,2369,249,,8021,13620,6569,6569,2022-09-11T07:00:00.0,2022-09-12T07:00:00.0,2022-09-11T00:00:00.0,2022-09-12T00:00:00.0,1395,6705,0,0,150,10,40,113,43,44,1662966000000,true,false,false,false,false,false,false,0,96200873,2022-09-11,TOTAL,37,24,93,1195,132,112,1439,5576,40920,30780,6720,7920,86340,14040,15960,10920,AWAKE,62,61,93,639,44,112,795,-31140,38220,120,6720,2640,47700,11580,15720,10920,ASLEEP,9,9,74,556,88,644,36716,2700,30660,5280,38640,2460,240,,96200873,2022-09-11,49,79,1,HIGHEST,100,MEASURED,2022-09-11T11:47:00.0,LOWEST,21,MEASURED,2022-09-12T04:23:00.0,MOSTRECENT,25,MEASURED,2022-09-12T06:59:00.0,ENDOFDAY,21,MEASURED,2022-09-12T04:25:00.0,40,109,41280002,,
96200873,2022-09-12,484f8bd87f604cd6b33b7d4a5f7531be,86400000,3109,989,2120,3109,3109,3109,989,74,17127,12500,16719,16719,2022-09-12T07:00:00.0,2022-09-13T07:00:00.0,2022-09-12T00:00:00.0,2022-09-13T00:00:00.0,4560,7010,7,56,150,10,42,171,43,47,1663052400000,true,true,false,false,false,false,false,0,96200873,2022-09-12,TOTAL,33,23,93,1145,78,213,1436,9185,36240,32460,12780,4680,86160,15120,17340,3780,AWAKE,52,49,93,646,54,213,913,-21286,35700,3060,12780,3240,54780,14580,17340,3780,ASLEEP,10,10,42,499,24,523,30471,540,29400,1440,31380,540,,,96200873,2022-09-12,84,67,1,HIGHEST,89,MEASURED,2022-09-12T13:39:00.0,LOWEST,22,MEASURED,2022-09-13T03:52:00.0,MOSTRECENT,42,MEASURED,2022-09-13T07:00:00.0,ENDOFDAY,22,MEASURED,2022-09-13T04:21:00.0,43,170,3,,
96200873,2022-09-13,d8f34801e63b4d19a5bd2e798a5f063d,86400000,3011,891,2120,3011,3011,3011,891,64,15341,12970,15499,15499,2022-09-13T07:00:00.0,2022-09-14T07:00:00.0,2022-09-13T00:00:00.0,2022-09-14T00:00:00.0,3615,6280,5,46,150,10,39,170,44,43,1663138800000,true,true,false,false,false,false,false,0,96200873,2022-09-13,TOTAL,32,22,93,862,158,417,1437,10495,25620,26100,25020,9480,86220,12000,8280,5340,AWAKE,52,51,93,429,113,414,956,-14955,23940,1800,24840,6780,57360,11460,7980,4500,ASLEEP,12,11,90,433,45,481,25450,1680,24300,2700,28860,540,300,840,96200873,2022-09-13,66,52,1,HIGHEST,92,MEASURED,2022-09-13T12:57:00.0,LOWEST,27,MEASURED,2022-09-14T04:44:00.0,MOSTRECENT,39,MEASURED,2022-09-14T07:00:00.0,ENDOFDAY,27,MEASURED,2022-09-14T05:02:00.0,40,169,81060002,3,180
96200873,2022-09-14,4292d554088f45e7b2e1571972834834,86400000,2898,778,2120,2898,2898,2898,778,58,15597,13450,15431,15431,2022-09-14T07:00:00.0,2022-09-15T07:00:00.0,2022-09-14T00:00:00.0,2022-09-15T00:00:00.0,4695,6450,1,45,150,10,42,169,44,46,1663225200000,true,true,false,false,false,false,false,0,96200873,2022-09-14,TOTAL,33,23,92,1079,165,194,1438,8132,38160,26580,11640,9900,86280,22740,10860,4560,AWAKE,50,49,92,633,127,193,953,-20668,37020,960,11580,7620,57180,22020,10560,4440,ASLEEP,9,9,84,446,38,485,28800,1140,25620,2280,29100,720,300,120,96200873,2022-09-14,71,65,1,HIGHEST,93,MEASURED,2022-09-14T12:52:00.0,LOWEST,29,MEASURED,2022-09-15T03:31:00.0,MOSTRECENT,45,MEASURED,2022-09-15T07:00:00.0,ENDOFDAY,29,MEASURED,2022-09-15T04:57:00.0,43,167,68220002,1,60
