userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/4/statsValue,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/4/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,totalPushes,pushDistance,dailyTotalFromEpochData
96200873,2023-03-24,eda88c08e057411eb159d823ce886f0f,86400000,2805,691,2114,2805,2805,2805,691,52,13609,12160,12871,12871,2023-03-24T07:00:00.0,2023-03-25T07:00:00.0,2023-03-24T00:00:00.0,2023-03-25T00:00:00.0,3250,6464,2,38,150,10,39,152,47,44,1679727600000,true,true,false,false,false,false,false,0,96200873,2023-03-24,TOTAL,19,15,94,1063,166,211,1440,43492,17640,46140,12660,9960,86400,10500,5220,1920,AWAKE,29,22,94,593,159,211,963,9172,17580,18000,12660,9540,57780,10440,5220,1920,ASLEEP,7,7,26,470,7,477,34320,60,28140,420,28620,60,96200873,2023-03-24,66,69,1,HIGHEST,100,MEASURED,2023-03-24T08:42:00.0,LOWEST,66,MEASURED,2023-03-25T04:18:00.0,MOSTRECENT,85,MEASURED,2023-03-25T07:00:00.0,ENDOFDAY,66,MEASURED,2023-03-25T04:29:00.0,STARTOFDAY,88,MEASURED,2023-03-24T07:01:00.0,40,151,65820002,,,,,,,
96200873,2023-03-25,b52a1abf864e400caec838d2ec312b6c,86400000,3216,1102,2114,3216,3216,3216,1102,84,19961,12450,19247,19247,2023-03-25T07:00:00.0,2023-03-26T07:00:00.0,2023-03-25T00:00:00.0,2023-03-26T00:00:00.0,7010,7695,3,61,150,10,38,168,46,45,1679814000000,true,true,false,false,false,false,false,0,96200873,2023-03-25,TOTAL,21,15,93,1063,64,310,1437,44981,18600,45180,18600,3840,86220,7140,7920,3540,AWAKE,38,25,93,507,51,307,865,-739,18060,12360,18420,3060,51900,6840,7740,3480,ASLEEP,5,5,79,556,13,572,45720,540,32820,780,34320,300,96200873,2023-03-25,84,74,1,HIGHEST,100,MEASURED,2023-03-25T08:41:00.0,LOWEST,33,MEASURED,2023-03-25T23:44:00.0,MOSTRECENT,95,MEASURED,2023-03-26T07:00:00.0,ENDOFDAY,63,MEASURED,2023-03-26T04:05:00.0,STARTOFDAY,85,MEASURED,2023-03-25T07:01:00.0,39,168,86220002,3,180,180,60,,,
96200873,2023-03-26,65c1395693134a7a9194f29e16050b15,86400000,2485,371,2114,2485,2485,2485,371,,5729,13960,4692,4692,2023-03-26T07:00:00.0,2023-03-27T07:00:00.0,2023-03-26T00:00:00.0,2023-03-27T00:00:00.0,1660,5550,0,0,150,10,38,143,45,43,1679900400000,true,false,false,false,false,false,false,0,96200873,2023-03-26,TOTAL,25,18,97,1184,150,104,1438,37212,24300,46740,6240,9000,86280,11580,5820,6900,AWAKE,39,28,97,697,136,103,936,-2554,23580,18240,6180,8160,56160,11040,5640,6900,ASLEEP,5,5,62,487,14,502,39766,720,28500,840,30120,540,96200873,2023-03-26,70,73,1,HIGHEST,100,MEASURED,2023-03-26T07:28:00.0,LOWEST,44,MEASURED,2023-03-26T18:11:00.0,MOSTRECENT,92,MEASURED,2023-03-27T07:00:00.0,ENDOFDAY,66,MEASURED,2023-03-27T04:04:00.0,STARTOFDAY,95,MEASURED,2023-03-26T07:01:00.0,38,141,43080002,1,60,180,,,,
96200873,2023-03-27,1510fe3255de4e2b91e345a40ee3403f,86400000,2763,649,2114,2763,2763,2763,649,44,12645,13140,12723,12723,2023-03-27T07:00:00.0,2023-03-28T07:00:00.0,2023-03-27T00:00:00.0,2023-03-28T00:00:00.0,2685,6900,1,32,150,10,37,164,44,42,1679986800000,true,true,false,false,false,false,false,0,96200873,2023-03-27,TOTAL,20,15,89,1081,145,158,1384,44966,18180,46680,9480,8700,83040,8940,7620,1620,AWAKE,29,21,89,666,130,158,954,10653,18060,21900,9480,7800,57240,8820,7620,1620,ASLEEP,4,5,37,415,15,430,34313,120,24780,900,25800,120,96200873,2023-03-27,74,72,1,HIGHEST,100,MEASURED,2023-03-27T07:43:00.0,LOWEST,66,MEASURED,2023-03-27T16:01:00.0,MOSTRECENT,94,MEASURED,2023-03-28T07:00:00.0,ENDOFDAY,74,MEASURED,2023-03-28T04:23:00.0,STARTOFDAY,92,MEASURED,2023-03-27T07:01:00.0,38,162,81720002,,,,,,,
96200873,2023-03-28,199501c2ce0f435c841695222bf3df8e,86400000,2666,552,2114,2666,2666,2666,552,43,11485,13050,11849,11849,2023-03-28T07:00:00.0,2023-03-29T07:00:00.0,2023-03-28T00:00:00.0,2023-03-29T00:00:00.0,3225,6105,1,31,150,10,40,154,44,44,1680073200000,true,true,false,false,false,false,false,0,96200873,2023-03-28,TOTAL,24,18,92,1108,163,167,1438,33972,23220,43260,10020,9780,86280,10680,8460,4080,AWAKE,40,31,92,606,151,165,922,-4916,22920,13440,9900,9060,55320,10560,8340,4020,ASLEEP,6,6,82,502,12,516,38888,300,29820,720,30960,120,96200873,2023-03-28,70,69,1,HIGHEST,100,MEASURED,2023-03-28T08:02:00.0,LOWEST,46,MEASURED,2023-03-28T21:55:00.0,MOSTRECENT,95,MEASURED,2023-03-29T07:00:00.0,ENDOFDAY,60,MEASURED,2023-03-29T03:54:00.0,STARTOFDAY,94,MEASURED,2023-03-28T07:01:00.0,41,151,82140002,2,120,120,60,,,
96200873,2023-03-29,6b7f185c47ec4877a4a22bf77707d4eb,86400000,2780,666,2114,2780,2780,2780,666,43,13073,12740,13128,13128,2023-03-29T07:00:00.0,2023-03-30T07:00:00.0,2023-03-29T00:00:00.0,2023-03-30T00:00:00.0,3900,5895,2,31,150,10,38,169,44,43,1680159600000,true,true,false,false,false,false,false,0,96200873,2023-03-29,TOTAL,26,18,91,1092,181,166,1439,31131,26520,39000,9960,10860,86340,12720,10560,3240,AWAKE,42,35,91,600,178,166,944,-8199,26220,9780,9960,10680,56640,12480,10500,3240,ASLEEP,5,5,55,492,3,495,39330,300,29220,180,29700,240,96200873,2023-03-29,57,75,1,HIGHEST,100,MEASURED,2023-03-29T07:41:00.0,LOWEST,47,MEASURED,2023-03-29T21:42:00.0,MOSTRECENT,77,MEASURED,2023-03-30T07:00:00.0,ENDOFDAY,52,MEASURED,2023-03-30T04:11:00.0,STARTOFDAY,95,MEASURED,2023-03-29T07:01:00.0,39,168,53100002,,,60,,,,
96200873,2023-03-30,de66f21832a34f1f9a32bbf7637ad24a,86400000,3358,1244,2114,3358,3358,3358,1244,42,19684,12780,19502,19502,2023-03-30T07:00:00.0,2023-03-31T07:00:00.0,2023-03-30T00:00:00.0,2023-03-31T00:00:00.0,6495,7303,4,62,150,10,39,192,43,43,1680246000000,true,true,false,false,false,false,false,0,96200873,2023-03-30,TOTAL,28,19,94,983,222,234,1439,26270,25440,33540,14040,13320,86340,9060,11220,5160,AWAKE,53,49,94,496,209,234,939,-15631,25440,4320,14040,12540,56340,9060,11220,5160,ASLEEP,3,4,22,487,13,500,41901,,29220,780,30000,,96200873,2023-03-30,75,87,1,HIGHEST,100,MEASURED,2023-03-30T09:19:00.0,LOWEST,26,MEASURED,2023-03-31T03:57:00.0,MOSTRECENT,65,MEASURED,2023-03-31T07:00:00.0,ENDOFDAY,26,MEASURED,2023-03-31T04:07:00.0,STARTOFDAY,77,MEASURED,2023-03-30T07:01:00.0,40,192,81720002,,,,,,,
96200873,2023-03-31,663d0fcf54dc4f45b3982d183f51c2dd,86400000,2810,696,2114,2810,2810,2810,696,41,13673,14160,13645,13645,2023-03-31T07:00:00.0,2023-04-01T07:00:00.0,2023-03-31T00:00:00.0,2023-04-01T00:00:00.0,4005,6420,2,30,150,10,40,161,44,45,1680332400000,true,true,false,false,false,false,false,0,96200873,2023-03-31,TOTAL,27,19,96,1051,205,183,1439,25315,24480,38580,10980,12300,86340,10440,10020,4020,AWAKE,43,35,96,571,184,180,935,-8063,23940,10320,10800,11040,56100,10080,9840,4020,ASLEEP,8,8,59,480,21,504,33378,540,28260,1260,30240,360,96200873,2023-03-31,89,70,1,HIGHEST,100,MEASURED,2023-03-31T11:56:00.0,LOWEST,42,MEASURED,2023-04-01T02:08:00.0,MOSTRECENT,84,MEASURED,2023-04-01T07:00:00.0,ENDOFDAY,53,MEASURED,2023-04-01T04:05:00.0,STARTOFDAY,65,MEASURED,2023-03-31T07:01:00.0,41,159,67680002,3,180,180,,,,
96200873,2023-04-01,c7809b8655c148138c47b9629cf5badb,86400000,3180,1066,2114,3180,3180,3180,1066,78,16823,14120,17616,17616,2023-04-01T07:00:00.0,2023-04-02T07:00:00.0,2023-04-01T00:00:00.0,2023-04-02T00:00:00.0,5191,6533,3,56,150,10,40,156,43,44,1680418800000,true,true,false,false,false,false,false,0,96200873,2023-04-01,TOTAL,33,22,96,1067,122,250,1439,12271,33360,30660,15000,7320,86340,15180,12060,6120,AWAKE,54,52,96,579,107,248,934,-21602,32640,2100,14880,6420,56040,14580,11940,6120,ASLEEP,8,8,68,488,15,505,33873,720,28560,900,30300,600,96200873,2023-04-01,46,80,1,HIGHEST,100,MEASURED,2023-04-01T09:00:00.0,LOWEST,24,MEASURED,2023-04-02T00:54:00.0,MOSTRECENT,50,MEASURED,2023-04-02T07:00:00.0,ENDOFDAY,25,MEASURED,2023-04-02T04:07:00.0,STARTOFDAY,84,MEASURED,2023-04-01T07:01:00.0,40,155,67380002,2,120,120,,,,
96200873,2023-04-02,e22980316e584dffba09112016e63e10,86400000,2414,300,2114,2414,2414,2414,300,,8590,14390,7035,7035,2023-04-02T07:00:00.0,2023-04-03T07:00:00.0,2023-04-02T00:00:00.0,2023-04-03T00:00:00.0,1715,6480,0,0,150,10,42,110,44,45,1680505200000,true,false,false,false,false,false,false,0,96200873,2023-04-02,TOTAL,27,20,93,1160,144,136,1440,26617,28740,40860,8160,8640,86400,14520,9240,4980,AWAKE,43,37,93,634,131,136,901,-10284,28500,9540,8160,7860,54060,14340,9240,4920,ASLEEP,7,8,84,526,13,539,36901,240,31320,780,32340,180,96200873,2023-04-02,95,74,1,HIGHEST,100,MEASURED,2023-04-02T12:19:00.0,LOWEST,44,MEASURED,2023-04-03T03:58:00.0,MOSTRECENT,71,MEASURED,2023-04-03T07:00:00.0,ENDOFDAY,44,MEASURED,2023-04-03T04:03:00.0,STARTOFDAY,50,MEASURED,2023-04-02T07:01:00.0,42,108,52200002,,,,60,,,
