userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/4/statsValue,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/4/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/highDuration,isVigorousDay,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/5/statsValue,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/5/statTimestamp
96200873,2023-10-10,4aaf50e7bee14f98b784d2eca062bddb,86400000,2876,790,2086,2876,2876,2876,790,47,13129,10300,12909,12909,2023-10-10T07:00:00.0,2023-10-11T07:00:00.0,2023-10-10T00:00:00.0,2023-10-11T00:00:00.0,3975,5725,2,35,150,10,41,172,48,46,1697007600000,true,true,false,false,false,false,false,0,96200873,2023-10-10,TOTAL,30,21,96,1084,177,178,1439,16865,32340,32700,10680,10620,86340,16800,11880,3660,AWAKE,47,43,96,608,133,176,917,-14763,31500,4980,10560,7980,55020,16380,11460,3660,ASLEEP,9,9,67,476,44,2,522,31628,840,27720,120,2640,31320,420,420,96200873,2023-10-10,52,75,1,HIGHEST,100,MEASURED,2023-10-10T08:48:00.0,LOWEST,38,MEASURED,2023-10-11T03:29:00.0,MOSTRECENT,60,MEASURED,2023-10-11T07:00:00.0,ENDOFDAY,38,MEASURED,2023-10-11T03:49:00.0,STARTOFDAY,83,MEASURED,2023-10-10T07:01:00.0,42,171,83940002,,,,,,
96200873,2023-10-11,a2fabb00a65d43458a7e868176182910,86400000,2642,556,2086,2642,2642,2642,556,34,9645,10590,9544,9544,2023-10-11T07:00:00.0,2023-10-12T07:00:00.0,2023-10-11T00:00:00.0,2023-10-12T00:00:00.0,2851,4528,4,25,150,10,36,150,47,46,1697094000000,true,true,false,false,false,false,false,0,96200873,2023-10-11,TOTAL,36,25,93,1106,175,153,1434,2978,39660,26700,9180,10500,86040,18180,16020,5460,AWAKE,51,49,93,658,67,151,876,-20886,35880,3600,9060,4020,52560,14760,15660,5460,ASLEEP,13,12,62,448,108,2,558,23864,3780,23100,120,6480,33480,3420,360,96200873,2023-10-11,60,71,1,HIGHEST,96,MEASURED,2023-10-11T12:25:00.0,LOWEST,29,MEASURED,2023-10-12T02:25:00.0,MOSTRECENT,49,MEASURED,2023-10-12T07:00:00.0,ENDOFDAY,35,MEASURED,2023-10-12T03:12:00.0,STARTOFDAY,60,MEASURED,2023-10-11T07:01:00.0,37,150,69360002,,,,,,
96200873,2023-10-12,ae9d63ae6e7d4c04ae2fcb5ff8f5b6e2,86400000,2690,604,2086,2690,2690,2690,604,34,9816,10500,9703,9703,2023-10-12T07:00:00.0,2023-10-13T07:00:00.0,2023-10-12T00:00:00.0,2023-10-13T00:00:00.0,3885,4735,6,37,150,10,37,149,47,48,1697180400000,true,true,false,false,false,false,false,0,96200873,2023-10-12,TOTAL,34,23,99,1082,166,192,1440,8963,33240,31680,11520,9960,86400,14940,11220,7080,AWAKE,53,50,99,591,111,191,893,-20160,31140,4320,11460,6660,53580,13380,10680,7080,ASLEEP,11,11,66,491,55,1,547,29123,2100,27360,60,3300,32820,1560,540,96200873,2023-10-12,72,75,1,HIGHEST,96,MEASURED,2023-10-12T12:17:00.0,LOWEST,27,MEASURED,2023-10-13T03:08:00.0,MOSTRECENT,46,MEASURED,2023-10-13T07:00:00.0,ENDOFDAY,28,MEASURED,2023-10-13T03:22:00.0,STARTOFDAY,49,MEASURED,2023-10-12T07:01:00.0,38,147,68820002,,,,,,
96200873,2023-10-13,77b7c21875f941a4ba6763993a4085c6,86400000,2695,609,2086,2695,2695,2695,609,46,11962,10370,11978,11978,2023-10-13T07:00:00.0,2023-10-14T07:00:00.0,2023-10-13T00:00:00.0,2023-10-14T00:00:00.0,2630,5399,4,33,150,10,45,164,48,51,1697266800000,true,true,false,false,false,false,false,0,96200873,2023-10-13,TOTAL,34,24,91,1123,117,196,1436,6909,34500,32880,11760,7020,86160,13680,16800,4020,AWAKE,53,50,91,609,86,192,887,-20860,33180,3360,11520,5160,53220,12660,16500,4020,ASLEEP,12,12,70,514,31,4,549,27769,1320,29520,240,1860,32940,1020,300,96200873,2023-10-13,75,60,1,HIGHEST,79,MEASURED,2023-10-13T12:16:00.0,LOWEST,24,MEASURED,2023-10-14T02:12:00.0,MOSTRECENT,61,MEASURED,2023-10-14T07:00:00.0,ENDOFDAY,25,MEASURED,2023-10-14T03:21:00.0,STARTOFDAY,46,MEASURED,2023-10-13T07:01:00.0,46,158,69900002,,,,,,
96200873,2023-10-14,5d3bf82d2ecb4cd2af1b208b9ef95396,86400000,2609,523,2086,2609,2609,2609,523,47,9188,10530,9691,9691,2023-10-14T07:00:00.0,2023-10-15T07:00:00.0,2023-10-14T00:00:00.0,2023-10-15T00:00:00.0,2435,3765,4,34,150,10,40,166,48,47,1697353200000,true,true,false,false,false,false,false,0,96200873,2023-10-14,TOTAL,22,17,89,1055,209,175,1439,36670,22260,41040,10500,12540,86340,12480,8640,1140,AWAKE,39,32,89,524,201,172,897,-5475,21840,9600,10320,12060,53820,12180,8520,1140,ASLEEP,5,6,58,531,8,3,542,42145,420,31440,180,480,32520,300,120,96200873,2023-10-14,97,65,1,HIGHEST,100,MEASURED,2023-10-14T10:54:00.0,LOWEST,48,MEASURED,2023-10-14T19:40:00.0,MOSTRECENT,93,MEASURED,2023-10-15T07:00:00.0,ENDOFDAY,57,MEASURED,2023-10-15T03:28:00.0,STARTOFDAY,61,MEASURED,2023-10-14T07:01:00.0,41,166,69540002,,,,,,
96200873,2023-10-15,9a5cd9d38d98421e8133ee7c5839747c,86400000,2755,669,2086,2755,2755,2755,669,36,10779,10400,10378,10378,2023-10-15T07:00:00.0,2023-10-16T07:00:00.0,2023-10-15T00:00:00.0,2023-10-16T00:00:00.0,2430,6495,2,28,150,10,42,169,47,47,1697439600000,true,true,false,false,false,false,false,0,96200873,2023-10-15,TOTAL,36,24,96,1119,98,221,1438,7475,34500,32640,13260,5880,86280,8460,18600,7440,AWAKE,59,57,96,606,55,219,880,-26090,33960,2400,13140,3300,52800,8100,18420,7440,ASLEEP,9,9,72,513,43,2,558,33565,540,30240,120,2580,33480,360,180,96200873,2023-10-15,37,83,1,HIGHEST,100,MEASURED,2023-10-15T08:01:00.0,LOWEST,18,MEASURED,2023-10-16T01:09:00.0,MOSTRECENT,47,MEASURED,2023-10-16T07:00:00.0,ENDOFDAY,23,MEASURED,2023-10-16T03:12:00.0,STARTOFDAY,93,MEASURED,2023-10-15T07:01:00.0,43,168,54900002,,,,,,
96200873,2023-10-16,40583f524b484b8d951901c71ebf2ab5,86400000,2552,466,2086,2552,2552,2552,466,36,9377,10440,9244,9244,2023-10-16T07:00:00.0,2023-10-17T07:00:00.0,2023-10-16T00:00:00.0,2023-10-17T00:00:00.0,1935,4545,5,26,150,10,42,159,47,46,1697526000000,true,true,false,false,false,false,false,0,96200873,2023-10-16,TOTAL,29,21,90,1118,160,158,1436,20206,31800,35280,9480,9600,86160,16380,11760,3660,AWAKE,48,43,90,597,130,156,883,-15086,31080,4740,9360,7800,52980,15840,11580,3660,ASLEEP,8,8,65,521,30,2,553,35292,720,30540,120,1800,33180,540,180,96200873,2023-10-16,94,67,1,HIGHEST,97,MEASURED,2023-10-16T12:23:00.0,LOWEST,35,MEASURED,2023-10-16T22:02:00.0,MOSTRECENT,74,MEASURED,2023-10-17T07:00:00.0,ENDOFDAY,44,MEASURED,2023-10-17T03:17:00.0,STARTOFDAY,47,MEASURED,2023-10-16T07:01:00.0,43,158,69060002,,,,,,
96200873,2023-10-17,8e7bd2a5c4cb4c879dcbc47c3b753d7f,86400000,2542,456,2086,2542,2542,2542,456,35,8727,10340,8774,8774,2023-10-17T07:00:00.0,2023-10-18T07:00:00.0,2023-10-17T00:00:00.0,2023-10-18T00:00:00.0,2730,3350,2,27,150,10,38,152,47,45,1697612400000,true,true,false,false,false,false,false,0,96200873,2023-10-17,TOTAL,33,23,88,1116,184,136,1436,9547,34080,32880,8160,11040,86160,16260,13140,4680,AWAKE,42,35,88,813,159,133,1105,-11626,32880,15900,7980,9540,66300,15600,12840,4440,ASLEEP,9,8,81,303,25,3,331,21173,1200,16980,180,1500,19860,660,300,96200873,2023-10-17,57,75,1,HIGHEST,100,MEASURED,2023-10-17T10:49:00.0,LOWEST,38,MEASURED,2023-10-17T21:16:00.0,MOSTRECENT,56,MEASURED,2023-10-18T07:00:00.0,ENDOFDAY,56,MEASURED,2023-10-18T07:00:00.0,STARTOFDAY,74,MEASURED,2023-10-17T07:01:00.0,39,150,73500002,240,,,,,
96200873,2023-10-18,3adb55010c7c4c4ba45efdf6b27e34a3,86400000,2527,441,2086,2527,2527,2527,441,34,9132,10020,9143,9143,2023-10-18T07:00:00.0,2023-10-19T07:00:00.0,2023-10-18T00:00:00.0,2023-10-19T00:00:00.0,2010,4650,2,25,150,10,46,149,48,51,1697698800000,true,true,false,false,false,false,false,0,96200873,2023-10-18,TOTAL,30,22,91,1124,185,128,1437,15323,34620,32820,7680,11100,86220,20400,9660,4560,AWAKE,41,34,91,740,167,123,1030,-8919,33840,10560,7380,10020,61800,19920,9480,4440,ASLEEP,10,10,88,384,18,5,407,24242,780,22260,300,1080,24420,480,180,96200873,2023-10-18,78,64,1,HIGHEST,93,MEASURED,2023-10-18T12:25:00.0,LOWEST,34,MEASURED,2023-10-19T02:43:00.0,MOSTRECENT,70,MEASURED,2023-10-19T07:00:00.0,ENDOFDAY,59,MEASURED,2023-10-19T05:43:00.0,STARTOFDAY,56,MEASURED,2023-10-18T07:01:00.0,46,148,70320002,120,,,,,
96200873,2023-10-19,23663fe8dd9e4d1586472865e021dd2d,86400000,2635,549,2086,2635,2635,2635,549,33,9120,9850,9283,9283,2023-10-19T07:00:00.0,2023-10-20T07:00:00.0,2023-10-19T00:00:00.0,2023-10-20T00:00:00.0,1725,4440,4,26,150,10,40,159,48,46,1697785200000,true,true,false,false,false,false,false,0,96200873,2023-10-19,TOTAL,28,21,96,1067,207,165,1439,18455,27720,36300,9900,12420,86340,14160,11580,1980,AWAKE,42,37,96,599,166,163,928,-9367,26940,9000,9780,9960,55680,13740,11340,1860,ASLEEP,10,11,86,468,41,2,511,27822,780,27300,120,2460,30660,420,240,96200873,2023-10-19,67,69,1,HIGHEST,100,MEASURED,2023-10-19T11:11:00.0,LOWEST,47,MEASURED,2023-10-19T17:51:00.0,MOSTRECENT,68,MEASURED,2023-10-20T07:00:00.0,ENDOFDAY,48,MEASURED,2023-10-20T03:58:00.0,STARTOFDAY,70,MEASURED,2023-10-19T07:01:00.0,42,156,69360002,120,,,,,
