userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,isVigorousDay,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/4/statsValue,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/4/statTimestamp,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/5/statsValue,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/5/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version
96200873,2024-01-18,f2fa99a915b44c2ebc8e15351f571cee,86400000,2745,665,2080,2745,2745,2745,665,45,11164,10970,11307,11307,2024-01-18T08:00:00.0,2024-01-19T08:00:00.0,2024-01-18T00:00:00.0,2024-01-19T00:00:00.0,2655,5265,9,35,true,150,10,45,170,54,51,1705651200000,true,true,false,false,false,false,false,0,96200873,2024-01-18,TOTAL,30,22,91,1153,123,163,1439,16380,32640,36540,9780,7380,86340,18120,9840,4680,AWAKE,44,38,91,654,86,159,899,-11587,31680,7560,9540,5160,53940,17580,9540,4560,ASLEEP,11,11,82,499,37,4,540,27967,960,28980,240,2220,32400,540,300,120,96200873,2024-01-18,49,69,1,HIGHEST,100,MEASURED,2024-01-18T10:08:00.0,LOWEST,33,MEASURED,2024-01-19T01:59:00.0,MOSTRECENT,67,MEASURED,2024-01-19T08:00:00.0,ENDOFDAY,52,MEASURED,2024-01-19T04:33:00.0,STARTOFDAY,87,MEASURED,2024-01-18T08:01:00.0,DURINGSLEEP,38,MEASURED,2024-01-18T13:32:00.0,45,169,55080002
96200873,2024-01-19,5ba4310fef814801978ed4bcf5836fff,86400000,2976,896,2080,2976,2976,2976,896,58,13847,11010,13902,13902,2024-01-19T08:00:00.0,2024-01-20T08:00:00.0,2024-01-19T00:00:00.0,2024-01-20T00:00:00.0,3810,5609,2,43,true,150,10,40,179,53,48,1705737600000,true,true,false,false,false,false,false,0,96200873,2024-01-19,TOTAL,28,20,93,1071,177,190,1438,20886,28620,35640,11400,10620,86280,14700,10500,3420,AWAKE,44,40,93,585,145,187,917,-11794,27600,7500,11220,8700,55020,14100,10140,3360,ASLEEP,9,9,77,486,32,3,521,32680,1020,28140,180,1920,31260,600,360,60,96200873,2024-01-19,85,77,1,HIGHEST,100,MEASURED,2024-01-19T13:13:00.0,LOWEST,34,MEASURED,2024-01-20T02:58:00.0,MOSTRECENT,75,MEASURED,2024-01-20T08:00:00.0,ENDOFDAY,40,MEASURED,2024-01-20T04:49:00.0,STARTOFDAY,67,MEASURED,2024-01-19T08:01:00.0,DURINGSLEEP,51,MEASURED,2024-01-19T13:30:00.0,40,177,69840002
96200873,2024-01-20,db585a0711d54fa48732af8f50d94c2b,86400000,2953,873,2080,2953,2953,2953,873,70,13450,11580,14072,14072,2024-01-20T08:00:00.0,2024-01-21T08:00:00.0,2024-01-20T00:00:00.0,2024-01-21T00:00:00.0,3600,4515,3,53,true,150,10,43,177,52,52,1705824000000,true,true,false,false,false,false,false,0,96200873,2024-01-20,TOTAL,27,20,93,1047,168,223,1438,23560,25800,37020,13380,10080,86280,12120,10860,2820,AWAKE,46,41,93,526,131,220,877,-11726,25020,6540,13200,7860,52620,11460,10740,2820,ASLEEP,8,8,71,521,37,3,561,35286,780,30480,180,2220,33660,660,120,,96200873,2024-01-20,68,70,1,HIGHEST,100,MEASURED,2024-01-20T11:09:00.0,LOWEST,36,MEASURED,2024-01-21T01:25:00.0,MOSTRECENT,73,MEASURED,2024-01-21T08:00:00.0,ENDOFDAY,41,MEASURED,2024-01-21T04:09:00.0,STARTOFDAY,75,MEASURED,2024-01-20T08:01:00.0,DURINGSLEEP,63,MEASURED,2024-01-20T13:30:00.0,45,177,70860002
96200873,2024-01-21,afd625cd38f14646991e4345d459fbfe,86400000,2724,644,2080,2724,2724,2724,644,37,10793,11960,10220,10220,2024-01-21T08:00:00.0,2024-01-22T08:00:00.0,2024-01-21T00:00:00.0,2024-01-22T00:00:00.0,2570,5205,3,27,true,150,10,41,170,51,46,1705910400000,true,true,false,false,false,false,false,0,96200873,2024-01-21,TOTAL,23,17,96,1146,102,190,1438,37832,21900,46860,11400,6120,86280,9480,9720,2700,AWAKE,38,28,96,605,99,190,894,-3204,21300,15000,11400,5940,53640,9060,9540,2700,ASLEEP,6,6,60,541,3,,544,41036,600,31860,,180,32640,420,180,,96200873,2024-01-21,90,68,1,HIGHEST,100,MEASURED,2024-01-21T11:35:00.0,LOWEST,43,MEASURED,2024-01-21T22:36:00.0,MOSTRECENT,95,MEASURED,2024-01-22T08:00:00.0,ENDOFDAY,60,MEASURED,2024-01-22T04:25:00.0,STARTOFDAY,73,MEASURED,2024-01-21T08:01:00.0,DURINGSLEEP,64,MEASURED,2024-01-21T13:28:00.0,43,169,40740002
96200873,2024-01-22,aca3272fa2e543b99a3c2ae6112cb246,86400000,3001,921,2080,3001,3001,3001,921,56,14648,11850,14645,14645,2024-01-22T08:00:00.0,2024-01-23T08:00:00.0,2024-01-22T00:00:00.0,2024-01-23T00:00:00.0,3940,6645,12,41,true,150,10,42,157,51,48,1705996800000,true,true,false,false,false,false,false,0,96200873,2024-01-22,TOTAL,25,18,97,1025,180,230,1435,31337,23700,37800,13800,10800,86100,10380,9720,3600,AWAKE,46,40,97,489,160,228,877,-9858,23040,6300,13680,9600,52620,9840,9600,3600,ASLEEP,6,6,64,536,20,2,558,41195,660,31500,120,1200,33480,540,120,,96200873,2024-01-22,68,77,1,HIGHEST,100,MEASURED,2024-01-22T08:26:00.0,LOWEST,29,MEASURED,2024-01-23T00:14:00.0,MOSTRECENT,86,MEASURED,2024-01-23T08:00:00.0,ENDOFDAY,44,MEASURED,2024-01-23T04:10:00.0,STARTOFDAY,95,MEASURED,2024-01-22T08:01:00.0,DURINGSLEEP,44,MEASURED,2024-01-22T13:27:00.0,43,157,84300002
96200873,2024-01-23,701a41e3c3334f3490f69b43e3aa8ea2,86400000,2790,710,2080,2790,2790,2790,710,45,11039,12130,11384,11384,2024-01-23T08:00:00.0,2024-01-24T08:00:00.0,2024-01-23T00:00:00.0,2024-01-24T00:00:00.0,2445,5219,3,34,true,150,10,40,177,50,50,1706083200000,true,true,false,false,false,false,false,0,96200873,2024-01-23,TOTAL,33,23,97,1101,200,138,1439,9738,34620,31440,8280,12000,86340,16620,11820,6180,AWAKE,50,46,97,633,121,137,891,-18349,32880,5100,8220,7260,53460,15240,11520,6120,ASLEEP,11,10,84,468,79,1,548,28087,1740,26340,60,4740,32880,1380,300,60,96200873,2024-01-23,47,78,1,HIGHEST,100,MEASURED,2024-01-23T10:35:00.0,LOWEST,26,MEASURED,2024-01-24T01:42:00.0,MOSTRECENT,55,MEASURED,2024-01-24T08:00:00.0,ENDOFDAY,35,MEASURED,2024-01-24T04:22:00.0,STARTOFDAY,86,MEASURED,2024-01-23T08:01:00.0,DURINGSLEEP,68,MEASURED,2024-01-23T13:29:00.0,41,177,69660002
96200873,2024-01-24,36dbd84e352b482eb25111909fbf71be,86400000,2900,820,2080,2900,2900,2900,820,55,13820,12020,14140,14140,2024-01-24T08:00:00.0,2024-01-25T08:00:00.0,2024-01-24T00:00:00.0,2024-01-25T00:00:00.0,3917,5383,3,42,true,150,10,41,179,49,49,1706169600000,true,true,false,false,false,false,false,0,96200873,2024-01-24,TOTAL,22,18,94,1049,183,206,1438,32765,18360,44580,12360,10980,86280,9960,7140,1260,AWAKE,35,27,94,523,160,201,884,-1675,17160,14220,12060,9600,53040,9180,6840,1140,ASLEEP,9,9,83,526,23,5,554,34440,1200,30360,300,1380,33240,780,300,120,96200873,2024-01-24,87,55,1,HIGHEST,94,MEASURED,2024-01-24T13:16:00.0,LOWEST,44,MEASURED,2024-01-24T22:48:00.0,MOSTRECENT,87,MEASURED,2024-01-25T08:00:00.0,ENDOFDAY,56,MEASURED,2024-01-25T04:17:00.0,STARTOFDAY,55,MEASURED,2024-01-24T08:01:00.0,DURINGSLEEP,65,MEASURED,2024-01-24T13:30:00.0,41,176,69960002
96200873,2024-01-25,1cc349bf0003431bb86adbf039bf1345,86400000,2745,665,2080,2745,2745,2745,665,44,11542,12200,11816,11816,2024-01-25T08:00:00.0,2024-01-26T08:00:00.0,2024-01-25T00:00:00.0,2024-01-26T00:00:00.0,3495,5100,3,33,true,150,10,41,174,49,48,1706256000000,true,true,false,false,false,false,false,0,96200873,2024-01-25,TOTAL,38,25,92,1038,210,191,1439,2243,35820,26460,11460,12600,86340,10500,18780,6540,AWAKE,55,52,92,664,120,190,974,-24171,34860,4980,11400,7200,58440,9960,18360,6540,ASLEEP,8,8,69,374,90,1,465,26414,960,21480,60,5400,27900,540,420,,96200873,2024-01-25,28,80,1,HIGHEST,100,MEASURED,2024-01-25T09:48:00.0,LOWEST,21,MEASURED,2024-01-26T03:21:00.0,MOSTRECENT,35,MEASURED,2024-01-26T08:00:00.0,ENDOFDAY,27,MEASURED,2024-01-26T05:42:00.0,STARTOFDAY,87,MEASURED,2024-01-25T08:01:00.0,DURINGSLEEP,46,MEASURED,2024-01-25T13:26:00.0,42,173,69660002
96200873,2024-01-26,a4b12df422fb4b7fa24184c77dae8755,86400000,2844,764,2080,2844,2844,2844,764,57,15152,12140,15099,15099,2024-01-26T08:00:00.0,2024-01-27T08:00:00.0,2024-01-26T00:00:00.0,2024-01-27T00:00:00.0,4635,5805,3,42,true,150,10,42,160,49,47,1706342400000,true,true,false,false,false,false,false,0,96200873,2024-01-26,TOTAL,32,22,90,972,320,141,1433,11216,30960,27360,8460,19200,85980,15960,10020,4980,AWAKE,47,43,90,618,224,141,983,-14807,29940,7140,8460,13440,58980,15060,9900,4980,ASLEEP,7,7,57,354,96,,450,26023,1020,20220,,5760,27000,900,120,,96200873,2024-01-26,71,70,1,HIGHEST,96,MEASURED,2024-01-26T13:19:00.0,LOWEST,34,MEASURED,2024-01-27T03:36:00.0,MOSTRECENT,36,MEASURED,2024-01-27T08:00:00.0,ENDOFDAY,35,MEASURED,2024-01-27T05:56:00.0,STARTOFDAY,35,MEASURED,2024-01-26T08:01:00.0,DURINGSLEEP,73,MEASURED,2024-01-26T13:25:00.0,43,157,70260002
96200873,2024-01-27,a4f89ae9ae2940b891e73443bb23b44f,86400000,2998,918,2080,2998,2998,2998,918,78,17500,12450,18246,18246,2024-01-27T08:00:00.0,2024-01-28T08:00:00.0,2024-01-27T00:00:00.0,2024-01-28T00:00:00.0,5790,5520,3,58,true,150,10,45,170,49,52,1706428800000,true,true,false,false,false,false,false,0,96200873,2024-01-27,TOTAL,41,31,93,958,244,236,1438,-7975,35940,21540,14160,14640,86280,14400,13140,8400,AWAKE,57,55,93,611,123,234,968,-24788,34620,2040,14040,7380,58080,13440,12900,8280,ASLEEP,14,13,77,347,121,2,470,16813,1320,19500,120,7260,28200,960,240,120,96200873,2024-01-27,45,59,1,HIGHEST,70,MEASURED,2024-01-27T13:17:00.0,LOWEST,14,MEASURED,2024-01-28T04:12:00.0,MOSTRECENT,22,MEASURED,2024-01-28T08:00:00.0,ENDOFDAY,15,MEASURED,2024-01-28T05:38:00.0,STARTOFDAY,36,MEASURED,2024-01-27T08:01:00.0,DURINGSLEEP,35,MEASURED,2024-01-27T13:28:00.0,45,168,70860002
