userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,isVigorousDay,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/4/statsValue,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/4/statTimestamp,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/5/statsValue,bodyBattery/bodyBatteryStatList/5/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/5/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/activityDuration,bodyBattery/bodyBatteryStatList/6/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/6/statsValue,bodyBattery/bodyBatteryStatList/6/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/6/statTimestamp
96200873,2024-04-27,7bf026a32a6f4aaebf4e40952a7afcec,86400000,3378,1298,2080,3378,3378,3378,1298,99,19511,14930,20835,20835,2024-04-27T07:00:00.0,2024-04-28T07:00:00.0,2024-04-27T00:00:00.0,2024-04-28T00:00:00.0,7065,5550,1,74,true,150,10,44,180,52,55,1714287600000,true,true,false,false,false,false,false,0,96200873,2024-04-27,TOTAL,34,24,90,1018,235,186,1439,4183,34440,26640,11160,14100,86340,17100,13980,3360,AWAKE,43,36,90,715,218,186,1119,-10952,32820,10080,11160,13080,67140,16260,13380,3180,ASLEEP,14,13,79,303,17,320,15135,1620,16560,1020,19200,840,600,180,96200873,2024-04-27,60,61,1,HIGHEST,79,MEASURED,2024-04-27T12:17:00.0,LOWEST,19,MEASURED,2024-04-28T02:23:00.0,MOSTRECENT,41,MEASURED,2024-04-28T07:00:00.0,ENDOFDAY,41,MEASURED,2024-04-28T07:00:00.0,STARTOFDAY,42,MEASURED,2024-04-27T07:01:00.0,DURINGSLEEP,46,MEASURED,2024-04-27T12:20:00.0,46,179,74400002,,,,,,
96200873,2024-04-28,b160ae49a95a4f3d98ab3008f1596fa9,86400000,2672,592,2080,2672,2672,2672,592,33,11728,15850,11206,11206,2024-04-28T07:00:00.0,2024-04-29T07:00:00.0,2024-04-28T00:00:00.0,2024-04-29T00:00:00.0,2786,5744,3,27,true,150,10,45,174,53,50,1714374000000,true,true,false,false,false,false,false,0,96200873,2024-04-28,TOTAL,20,16,93,1043,243,154,1440,38292,15840,46740,9240,14580,86400,7020,7800,1020,AWAKE,30,22,93,573,220,153,946,8642,14940,19440,9180,13200,56760,6120,7800,1020,ASLEEP,9,10,45,470,23,494,29650,900,27300,1380,29640,900,,,96200873,2024-04-28,102,57,1,HIGHEST,86,MEASURED,2024-04-29T06:55:00.0,LOWEST,41,MEASURED,2024-04-28T07:01:00.0,MOSTRECENT,86,MEASURED,2024-04-29T07:00:00.0,ENDOFDAY,65,MEASURED,2024-04-29T04:33:00.0,STARTOFDAY,41,MEASURED,2024-04-28T07:01:00.0,DURINGSLEEP,61,MEASURED,2024-04-28T12:46:00.0,45,174,69660002,1,60,,,,
96200873,2024-04-29,ee5d7eb1489d40369c0b069c0c0bbbfc,86400000,2579,499,2080,2579,2579,2579,499,36,11035,15440,10557,10557,2024-04-29T07:00:00.0,2024-04-30T07:00:00.0,2024-04-29T00:00:00.0,2024-04-30T00:00:00.0,3415,4965,3,26,true,150,10,41,169,53,49,1714460400000,true,true,false,false,false,false,false,0,96200873,2024-04-29,TOTAL,18,15,87,1069,229,141,1439,46231,13200,50940,8460,13740,86340,6360,5400,1440,AWAKE,25,19,87,618,178,138,934,16178,12660,24420,8280,10680,56040,6060,5220,1380,ASLEEP,9,9,78,451,51,505,30053,540,26520,3060,30300,300,180,60,96200873,2024-04-29,70,63,1,HIGHEST,100,MEASURED,2024-04-29T08:24:00.0,LOWEST,67,MEASURED,2024-04-29T18:14:00.0,MOSTRECENT,93,MEASURED,2024-04-30T07:00:00.0,ENDOFDAY,84,MEASURED,2024-04-30T04:05:00.0,STARTOFDAY,86,MEASURED,2024-04-29T07:01:00.0,DURINGSLEEP,33,MEASURED,2024-04-29T12:29:00.0,42,169,68940002,3,180,,,,
96200873,2024-04-30,15bcfa1c53ab4e8982a54c4b134d2bd9,86400000,2858,778,2080,2858,2858,2858,778,57,15703,14560,15468,15468,2024-04-30T07:00:00.0,2024-05-01T07:00:00.0,2024-04-30T00:00:00.0,2024-05-01T00:00:00.0,4739,6235,2,42,true,150,10,36,167,52,47,1714546800000,true,true,false,false,false,false,false,0,96200873,2024-04-30,TOTAL,23,18,87,1022,152,266,1440,29481,16860,44460,15960,9120,86400,9000,6420,1440,AWAKE,32,24,87,580,127,265,972,2633,16020,18780,15900,7620,58320,8280,6360,1380,ASLEEP,10,10,78,442,25,468,26848,840,25680,1500,28080,720,60,60,96200873,2024-04-30,51,70,1,HIGHEST,100,MEASURED,2024-04-30T07:48:00.0,LOWEST,52,MEASURED,2024-05-01T00:52:00.0,MOSTRECENT,74,MEASURED,2024-05-01T07:00:00.0,ENDOFDAY,61,MEASURED,2024-05-01T04:39:00.0,STARTOFDAY,93,MEASURED,2024-04-30T07:01:00.0,DURINGSLEEP,15,MEASURED,2024-04-30T12:26:00.0,36,166,84300002,1,60,,,,
96200873,2024-05-01,9b7fc6af589d4f2c87c1a80fbe70831c,86400000,2853,773,2080,2853,2853,2853,773,57,14267,14680,14405,14405,2024-05-01T07:00:00.0,2024-05-02T07:00:00.0,2024-05-01T00:00:00.0,2024-05-02T00:00:00.0,4530,5895,2,42,true,150,10,42,188,51,49,1714633200000,true,true,false,false,false,false,false,0,96200873,2024-05-01,TOTAL,27,20,89,1007,230,202,1439,19742,26460,33960,12120,13800,86340,16860,7800,1800,AWAKE,38,32,89,586,184,198,968,-5619,25620,9540,11880,11040,58080,16260,7560,1800,ASLEEP,10,10,75,421,46,471,25361,840,24420,2760,28260,600,240,,96200873,2024-05-01,66,76,1,HIGHEST,100,MEASURED,2024-05-01T12:11:00.0,LOWEST,40,MEASURED,2024-05-02T03:08:00.0,MOSTRECENT,64,MEASURED,2024-05-02T07:00:00.0,ENDOFDAY,44,MEASURED,2024-05-02T04:38:00.0,STARTOFDAY,74,MEASURED,2024-05-01T07:01:00.0,DURINGSLEEP,37,MEASURED,2024-05-01T12:28:00.0,43,185,69780002,4,240,,,,
96200873,2024-05-02,c923751965f240b6a20ac9cf4801e342,86400000,2925,845,2080,2925,2925,2925,845,58,14588,14640,14687,14687,2024-05-02T07:00:00.0,2024-05-03T07:00:00.0,2024-05-02T00:00:00.0,2024-05-03T00:00:00.0,4170,6210,1,46,true,150,10,43,187,50,50,1714719600000,true,true,false,false,false,false,false,0,96200873,2024-05-02,TOTAL,19,15,90,1042,172,225,1439,42020,14100,48420,13500,10320,86340,8160,4320,1620,AWAKE,30,23,90,530,159,223,912,4831,12960,18840,13380,9540,54720,7260,4140,1560,ASLEEP,7,7,85,512,13,527,37189,1140,29580,780,31620,900,180,60,96200873,2024-05-02,94,63,1,HIGHEST,100,MEASURED,2024-05-02T11:13:00.0,LOWEST,57,MEASURED,2024-05-02T21:51:00.0,MOSTRECENT,95,MEASURED,2024-05-03T07:00:00.0,ENDOFDAY,64,MEASURED,2024-05-03T03:41:00.0,STARTOFDAY,64,MEASURED,2024-05-02T07:01:00.0,DURINGSLEEP,60,MEASURED,2024-05-02T12:27:00.0,43,185,69840002,2,120,,,,
96200873,2024-05-03,a627de031cce4623aed3f79cebd27d19,86400000,3086,1006,2080,3086,3086,3086,1006,56,18747,14630,18176,18176,2024-05-03T07:00:00.0,2024-05-04T07:00:00.0,2024-05-03T00:00:00.0,2024-05-04T00:00:00.0,5984,8680,1,43,true,150,10,43,178,50,50,1714806000000,true,true,false,false,false,false,false,0,96200873,2024-05-03,TOTAL,20,16,93,952,184,303,1439,34616,14040,43080,18180,11040,86340,6960,4980,2100,AWAKE,33,24,93,469,176,300,945,2878,13140,15000,18000,10560,56700,6240,4920,1980,ASLEEP,9,9,87,483,8,494,31738,900,28080,480,29640,720,60,120,96200873,2024-05-03,54,73,1,HIGHEST,100,MEASURED,2024-05-03T07:38:00.0,LOWEST,51,MEASURED,2024-05-03T19:15:00.0,MOSTRECENT,76,MEASURED,2024-05-04T07:00:00.0,ENDOFDAY,54,MEASURED,2024-05-04T04:17:00.0,STARTOFDAY,95,MEASURED,2024-05-03T07:01:00.0,DURINGSLEEP,34,MEASURED,2024-05-03T12:30:00.0,43,176,69900002,3,180,,,,
96200873,2024-05-04,6a94f3a978a84f4ab1b10316ee1ecbe0,86400000,2941,861,2080,2941,2941,2941,861,34,22362,15050,19963,19963,2024-05-04T07:00:00.0,2024-05-05T07:00:00.0,2024-05-04T00:00:00.0,2024-05-05T00:00:00.0,4950,10839,13,27,true,150,10,38,170,49,49,1714892400000,true,true,false,false,false,false,false,0,96200873,2024-05-04,TOTAL,28,21,89,895,209,336,1440,17425,22740,30960,20160,12540,86400,10740,8820,3180,AWAKE,47,43,89,447,174,335,956,-10717,21660,5160,20100,10440,57360,9900,8580,3180,ASLEEP,10,10,72,448,35,484,28142,1080,25800,2100,29040,840,240,,96200873,2024-05-04,55,74,1,HIGHEST,100,MEASURED,2024-05-04T09:37:00.0,LOWEST,34,MEASURED,2024-05-05T02:28:00.0,MOSTRECENT,57,MEASURED,2024-05-05T07:00:00.0,ENDOFDAY,37,MEASURED,2024-05-05T04:20:00.0,STARTOFDAY,76,MEASURED,2024-05-04T07:01:00.0,DURINGSLEEP,44,MEASURED,2024-05-04T12:23:00.0,39,170,54360002,1,60,,,,
96200873,2024-05-05,6395897b6ee548f6841823dbfc43fffc,86400000,2468,388,2080,2468,2468,2468,388,,8252,16520,7688,7688,2024-05-05T07:00:00.0,2024-05-06T07:00:00.0,2024-05-05T00:00:00.0,2024-05-06T00:00:00.0,165,2835,1,12,false,150,10,44,113,49,49,1714978800000,true,false,false,false,false,false,false,0,96200873,2024-05-05,TOTAL,27,20,90,915,184,56,1155,19566,21000,33900,3360,11040,69300,9360,9840,1800,AWAKE,47,44,90,427,160,51,638,-11024,20520,5100,3060,9600,38280,9060,9660,1800,ASLEEP,9,10,75,488,24,517,30590,480,28800,1440,31020,300,180,,96200873,2024-05-05,72,68,1,HIGHEST,98,MEASURED,2024-05-05T12:58:00.0,LOWEST,34,MEASURED,2024-05-06T01:18:00.0,MOSTRECENT,61,MEASURED,2024-05-06T07:00:00.0,ENDOFDAY,36,MEASURED,2024-05-06T04:27:00.0,STARTOFDAY,57,MEASURED,2024-05-05T07:01:00.0,DURINGSLEEP,60,MEASURED,2024-05-05T13:03:00.0,44,111,55140002,5,300,,,,
96200873,2024-05-06,1624de60493e4f9b878928975584e6bf,86400000,2300,220,2080,2300,2300,2300,220,,7093,15700,5809,5809,2024-05-06T07:00:00.0,2024-05-07T07:00:00.0,2024-05-06T00:00:00.0,2024-05-07T00:00:00.0,2075,5555,0,0,false,150,10,41,112,49,48,1715065200000,true,false,false,false,false,false,false,0,96200873,2024-05-06,TOTAL,20,17,93,1077,246,115,1438,37111,17520,47100,6900,14760,86280,10980,4560,1980,AWAKE,26,20,93,676,169,114,959,13674,16920,23640,6840,10140,57540,10620,4320,1980,ASLEEP,11,11,73,401,77,479,23437,600,23460,4620,28740,360,240,,96200873,2024-05-06,75,59,1,HIGHEST,100,MEASURED,2024-05-06T18:37:00.0,LOWEST,61,MEASURED,2024-05-06T07:01:00.0,MOSTRECENT,77,MEASURED,2024-05-07T07:00:00.0,ENDOFDAY,70,MEASURED,2024-05-07T04:27:00.0,STARTOFDAY,61,MEASURED,2024-05-06T07:01:00.0,DURINGSLEEP,59,MEASURED,2024-05-06T12:26:00.0,43,111,67440002,1,60,,,,
