sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,retro,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds
2021-05-30T05:00:00.0,2021-05-30T13:00:00.0,2021-05-30,UNCONFIRMED,false,,,,
2021-05-31T04:37:00.0,2021-05-31T16:21:00.0,2021-05-31,OFF_WRIST,false,0,0,0,0
2021-06-01T05:00:00.0,2021-06-01T13:00:00.0,2021-06-01,UNCONFIRMED,false,,,,
2021-06-02T03:52:00.0,2021-06-02T14:01:00.0,2021-06-02,OFF_WRIST,false,0,0,0,0
2021-06-03T05:00:00.0,2021-06-03T13:00:00.0,2021-06-03,UNCONFIRMED,false,,,,
2021-06-04T03:57:00.0,2021-06-04T15:41:00.0,2021-06-04,OFF_WRIST,false,0,0,0,0
2021-06-05T03:52:00.0,2021-06-05T15:36:00.0,2021-06-05,OFF_WRIST,false,0,0,0,0
2021-06-06T05:00:00.0,2021-06-06T13:00:00.0,2021-06-06,UNCONFIRMED,false,,,,
2021-06-07T05:00:00.0,2021-06-07T13:00:00.0,2021-06-07,UNCONFIRMED,false,,,,
2021-06-08T05:00:00.0,2021-06-08T13:00:00.0,2021-06-08,UNCONFIRMED,false,,,,
2021-06-09T05:00:00.0,2021-06-09T13:00:00.0,2021-06-09,UNCONFIRMED,false,,,,
2021-06-10T05:00:00.0,2021-06-10T13:00:00.0,2021-06-10,UNCONFIRMED,false,,,,
2021-06-11T03:57:00.0,2021-06-11T15:36:00.0,2021-06-11,OFF_WRIST,false,0,0,0,0
2021-06-12T03:57:00.0,2021-06-12T14:56:00.0,2021-06-12,OFF_WRIST,false,0,0,0,0
2021-06-13T05:00:00.0,2021-06-13T13:00:00.0,2021-06-13,UNCONFIRMED,false,,,,
2021-06-14T05:00:00.0,2021-06-14T13:00:00.0,2021-06-14,UNCONFIRMED,false,,,,
2021-06-15T05:00:00.0,2021-06-15T13:00:00.0,2021-06-15,UNCONFIRMED,false,,,,
2021-06-16T03:52:00.0,2021-06-16T14:01:00.0,2021-06-16,OFF_WRIST,false,0,0,0,0
2021-06-17T05:00:00.0,2021-06-17T13:00:00.0,2021-06-17,UNCONFIRMED,false,,,,
2021-06-18T05:00:00.0,2021-06-18T13:00:00.0,2021-06-18,UNCONFIRMED,false,,,,
2021-06-19T03:52:00.0,2021-06-19T15:21:00.0,2021-06-19,OFF_WRIST,false,0,0,0,0
2021-06-20T05:00:00.0,2021-06-20T13:00:00.0,2021-06-20,UNCONFIRMED,false,,,,
2021-06-21T05:00:00.0,2021-06-21T13:00:00.0,2021-06-21,UNCONFIRMED,false,,,,
2021-06-22T05:00:00.0,2021-06-22T13:00:00.0,2021-06-22,UNCONFIRMED,false,,,,
2021-06-23T03:52:00.0,2021-06-23T14:06:00.0,2021-06-23,OFF_WRIST,false,0,0,0,0
2021-06-24T05:00:00.0,2021-06-24T13:00:00.0,2021-06-24,UNCONFIRMED,false,,,,
2021-06-25T03:57:00.0,2021-06-25T15:36:00.0,2021-06-25,OFF_WRIST,false,0,0,0,0
2021-06-26T05:00:00.0,2021-06-26T13:00:00.0,2021-06-26,UNCONFIRMED,false,,,,
2021-06-27T05:00:00.0,2021-06-27T13:00:00.0,2021-06-27,UNCONFIRMED,false,,,,
2021-06-28T03:47:00.0,2021-06-28T14:26:00.0,2021-06-28,AUTO_CONFIRMED_FINAL,false,38340,0,0,0
2021-06-29T03:52:00.0,2021-06-29T14:16:00.0,2021-06-29,AUTO_CONFIRMED_FINAL,false,37440,0,0,0
2021-06-30T03:47:00.0,2021-06-30T15:26:00.0,2021-06-30,AUTO_CONFIRMED_FINAL,false,41940,0,0,0
2021-07-01T03:52:00.0,2021-07-01T14:16:00.0,2021-07-01,AUTO_CONFIRMED_FINAL,false,37440,0,0,0
2021-07-02T05:00:00.0,2021-07-02T13:00:00.0,2021-07-02,UNCONFIRMED,false,,,,
2021-07-03T05:00:00.0,2021-07-03T13:00:00.0,2021-07-03,UNCONFIRMED,false,,,,
2021-07-04T05:00:00.0,2021-07-04T13:00:00.0,2021-07-04,UNCONFIRMED,false,,,,
2021-07-05T05:00:00.0,2021-07-05T13:00:00.0,2021-07-05,UNCONFIRMED,false,,,,
2021-07-06T05:00:00.0,2021-07-06T13:00:00.0,2021-07-06,UNCONFIRMED,false,,,,
2021-07-07T03:47:00.0,2021-07-07T14:06:00.0,2021-07-07,OFF_WRIST,false,0,0,0,0
2021-07-08T03:47:00.0,2021-07-08T15:26:00.0,2021-07-08,OFF_WRIST,false,0,0,0,0
2021-07-09T03:52:00.0,2021-07-09T15:36:00.0,2021-07-09,OFF_WRIST,false,0,0,0,0
2021-07-10T03:52:00.0,2021-07-10T15:51:00.0,2021-07-10,OFF_WRIST,false,0,0,0,0
2021-07-11T05:00:00.0,2021-07-11T13:00:00.0,2021-07-11,UNCONFIRMED,false,,,,
2021-07-12T03:47:00.0,2021-07-12T15:26:00.0,2021-07-12,OFF_WRIST,false,0,0,0,0
2021-07-13T03:42:00.0,2021-07-13T13:21:00.0,2021-07-13,OFF_WRIST,false,0,0,0,0
