sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2023-07-02T04:33:00.0,2023-07-02T12:36:00.0,2023-07-02,ENHANCED_CONFIRMED_FINAL,2280,14520,10080,240,1860,false
2023-07-03T05:09:00.0,2023-07-03T11:43:00.0,2023-07-03,ENHANCED_CONFIRMED,1800,17640,4140,60,0,false
2023-07-04T04:28:00.0,2023-07-04T12:26:00.0,2023-07-04,ENHANCED_CONFIRMED_FINAL,4680,16020,7680,300,0,false
2023-07-05T07:17:00.0,2023-07-05T15:00:00.0,2023-07-05,ENHANCED_CONFIRMED_FINAL,4020,17160,6360,240,0,false
2023-07-06T05:15:00.0,2023-07-06T12:27:00.0,2023-07-06,ENHANCED_CONFIRMED_FINAL,1320,13980,10380,240,0,false
2023-07-07T04:52:00.0,2023-07-07T12:27:00.0,2023-07-07,ENHANCED_CONFIRMED_FINAL,4260,17700,5040,300,0,false
2023-07-08T04:39:00.0,2023-07-08T12:26:00.0,2023-07-08,ENHANCED_CONFIRMED_FINAL,2760,18600,6540,120,0,false
2023-07-09T04:43:00.0,2023-07-09T12:31:00.0,2023-07-09,ENHANCED_CONFIRMED_FINAL,2820,19020,5880,360,0,false
2023-07-10T04:48:00.0,2023-07-10T12:26:00.0,2023-07-10,ENHANCED_CONFIRMED_FINAL,3900,14460,9120,0,0,false
2023-07-11T04:32:00.0,2023-07-11T12:31:00.0,2023-07-11,ENHANCED_CONFIRMED_FINAL,2940,18960,6600,240,0,false
2023-07-12T04:38:00.0,2023-07-12T12:26:00.0,2023-07-12,ENHANCED_CONFIRMED_FINAL,2580,12300,12240,300,660,false
2023-07-13T02:01:00.0,2023-07-13T12:32:00.0,2023-07-13,ENHANCED_CONFIRMED,4140,23700,5700,4320,0,false
2023-07-14T04:52:00.0,2023-07-14T12:26:00.0,2023-07-14,ENHANCED_CONFIRMED_FINAL,0,15480,11760,0,0,false
2023-07-15T04:57:00.0,2023-07-15T12:26:00.0,2023-07-15,ENHANCED_CONFIRMED_FINAL,4620,13200,9120,0,0,false
2023-07-16T03:37:00.0,2023-07-16T16:56:00.0,2023-07-16,OFF_WRIST,0,0,,0,0,false
2023-07-17T03:17:00.0,2023-07-17T12:56:00.0,2023-07-17,OFF_WRIST,0,0,,0,0,false
2023-07-18T04:58:00.0,2023-07-18T12:28:00.0,2023-07-18,ENHANCED_CONFIRMED_FINAL,2460,16620,7860,60,0,false
2023-07-19T04:42:00.0,2023-07-19T12:26:00.0,2023-07-19,ENHANCED_CONFIRMED_FINAL,2040,17640,8100,60,0,false
2023-07-20T04:15:00.0,2023-07-20T12:26:00.0,2023-07-20,ENHANCED_CONFIRMED,0,22320,6960,180,0,false
2023-07-21T03:12:00.0,2023-07-21T13:03:00.0,2023-07-21,OFF_WRIST,0,0,,0,0,false
2023-07-22T04:45:00.0,2023-07-22T12:33:00.0,2023-07-22,ENHANCED_CONFIRMED,3540,20580,3900,60,0,false
2023-07-23T04:33:00.0,2023-07-23T12:42:00.0,2023-07-23,ENHANCED_CONFIRMED,3000,18840,6060,300,1140,false
2023-07-24T04:35:00.0,2023-07-24T12:25:00.0,2023-07-24,ENHANCED_CONFIRMED_FINAL,4740,13500,9900,60,0,false
2023-07-25T04:19:00.0,2023-07-25T12:26:00.0,2023-07-25,ENHANCED_CONFIRMED,0,15180,14040,0,0,false
2023-07-26T03:01:00.0,2023-07-26T12:26:00.0,2023-07-26,OFF_WRIST,0,0,,0,0,false
2023-07-27T04:22:00.0,2023-07-27T12:27:00.0,2023-07-27,ENHANCED_CONFIRMED,3240,18000,7260,600,0,false
2023-07-28T04:03:00.0,2023-07-28T13:03:00.0,2023-07-28,ENHANCED_CONFIRMED_FINAL,2880,17520,11820,180,0,false
2023-07-29T04:00:00.0,2023-07-29T12:26:00.0,2023-07-29,ENHANCED_CONFIRMED_FINAL,6000,15720,8580,60,0,false
2023-07-30T04:26:00.0,2023-07-30T12:25:00.0,2023-07-30,ENHANCED_CONFIRMED_FINAL,2460,12960,13140,180,0,false
2023-07-31T06:37:00.0,2023-07-31T13:35:00.0,2023-07-31,ENHANCED_CONFIRMED_FINAL,2700,15180,7200,0,0,false
2023-08-01T04:59:00.0,2023-08-01T12:27:00.0,2023-08-01,ENHANCED_CONFIRMED_FINAL,1140,13800,11820,120,0,false
