version,metaData/userProfilePK,metaData/calendarDate,metaData/sequence,weight/weight,weight/sourceType,weight/timestampGMT,userSetNullForHeight,userSetNullForWeight,userSetNullForActivityClass,userSetNullForLactateThresholdSpeed,userSetNullForLactateThresholdHR,userSetNullForVO2MaxCycling,userSetNullForVO2MaxRunning,height,vo2MaxRunning
1622603678529,96200873,2021-05-30T21:05:51.0,1622603678529,68000,CHANGE_LOG,2021-05-31T04:05:51.0,false,false,false,false,false,false,false,,
1622603678348,96200873,2021-06-01T20:14:38.339,1622603678348,,,,false,true,true,true,true,true,true,180,
1623971227464,96200873,2021-06-07T00:00:00.0,1623971227464,,,,false,false,false,false,false,false,false,,59
1623971227467,96200873,2021-06-07T00:00:00.0,1623971227467,,,,false,false,false,false,false,false,false,,59
1623971227470,96200873,2021-06-07T00:00:00.0,1623971227470,,,,false,false,false,false,false,false,false,,60
1623971227472,96200873,2021-06-07T00:00:00.0,1623971227472,,,,false,false,false,false,false,false,false,,60
1623971227637,96200873,2021-06-15T00:00:00.0,1623971227637,,,,false,false,false,false,false,false,false,,58
1623971227640,96200873,2021-06-15T00:00:00.0,1623971227640,,,,false,false,false,false,false,false,false,,59
1623971227642,96200873,2021-06-15T00:00:00.0,1623971227642,,,,false,false,false,false,false,false,false,,60
1624661563515,96200873,2021-06-19T00:00:00.0,1624661563515,,,,false,false,false,false,false,false,false,,60
1624661563517,96200873,2021-06-19T00:00:00.0,1624661563517,,,,false,false,false,false,false,false,false,,60
1624661563519,96200873,2021-06-19T00:00:00.0,1624661563519,,,,false,false,false,false,false,false,false,,61
1624661563520,96200873,2021-06-19T00:00:00.0,1624661563520,,,,false,false,false,false,false,false,false,,61
1624661563522,96200873,2021-06-19T00:00:00.0,1624661563522,,,,false,false,false,false,false,false,false,,62
1626183303750,96200873,2021-06-26T00:00:00.0,1626183303750,,,,false,false,false,false,false,false,false,,61
1626183303753,96200873,2021-06-26T00:00:00.0,1626183303753,,,,false,false,false,false,false,false,false,,61
1626183303754,96200873,2021-06-26T00:00:00.0,1626183303754,,,,false,false,false,false,false,false,false,,62
1626183303756,96200873,2021-06-26T00:00:00.0,1626183303756,,,,false,false,false,false,false,false,false,,62
1626183303758,96200873,2021-06-26T00:00:00.0,1626183303758,,,,false,false,false,false,false,false,false,,62
1626183303776,96200873,2021-06-26T00:00:00.0,1626183303776,,,,false,false,false,false,false,false,false,,62
1626183303778,96200873,2021-06-26T00:00:00.0,1626183303778,,,,false,false,false,false,false,false,false,,62
1626183303780,96200873,2021-06-26T00:00:00.0,1626183303780,,,,false,false,false,false,false,false,false,,62
1626183303784,96200873,2021-06-26T00:00:00.0,1626183303784,,,,false,false,false,false,false,false,false,,62
1626183303786,96200873,2021-06-26T00:00:00.0,1626183303786,,,,false,false,false,false,false,false,false,,61
1626360094584,96200873,2021-07-13T00:00:00.0,1626360094584,,,,false,false,false,false,false,false,false,,63
1626360094586,96200873,2021-07-13T00:00:00.0,1626360094586,,,,false,false,false,false,false,false,false,,63
1627860750916,96200873,2021-07-15T00:00:00.0,1627860750916,,,,false,false,false,false,false,false,false,,63
1627860750919,96200873,2021-07-15T00:00:00.0,1627860750919,,,,false,false,false,false,false,false,false,,63
1627860750921,96200873,2021-07-15T00:00:00.0,1627860750921,,,,false,false,false,false,false,false,false,,63
1627860750923,96200873,2021-07-15T00:00:00.0,1627860750923,,,,false,false,false,false,false,false,false,,60
1627860750926,96200873,2021-07-15T00:00:00.0,1627860750926,,,,false,false,false,false,false,false,false,,60
1627860750928,96200873,2021-07-15T00:00:00.0,1627860750928,,,,false,false,false,false,false,false,false,,60
1627860750930,96200873,2021-07-15T00:00:00.0,1627860750930,,,,false,false,false,false,false,false,false,,60
1627860750932,96200873,2021-07-15T00:00:00.0,1627860750932,,,,false,false,false,false,false,false,false,,61
1627860750934,96200873,2021-07-15T00:00:00.0,1627860750934,,,,false,false,false,false,false,false,false,,62
1628101835967,96200873,2021-08-02T00:00:00.0,1628101835967,,,,false,false,false,false,false,false,false,,63
1628101835969,96200873,2021-08-02T00:00:00.0,1628101835969,,,,false,false,false,false,false,false,false,,63
1628295358514,96200873,2021-08-05T00:00:00.0,1628295358514,,,,false,false,false,false,false,false,false,,62
1628295358517,96200873,2021-08-05T00:00:00.0,1628295358517,,,,false,false,false,false,false,false,false,,61
1629246121171,96200873,2021-08-07T00:00:00.0,1629246121171,,,,false,false,false,false,false,false,false,,61
1629246121472,96200873,2021-08-08T00:00:00.0,1629246121472,,,,false,false,false,false,false,false,false,,61
1629246121475,96200873,2021-08-08T00:00:00.0,1629246121475,,,,false,false,false,false,false,false,false,,61
1629246121477,96200873,2021-08-08T00:00:00.0,1629246121477,,,,false,false,false,false,false,false,false,,61
1629246121479,96200873,2021-08-08T00:00:00.0,1629246121479,,,,false,false,false,false,false,false,false,,61
1629246121481,96200873,2021-08-08T00:00:00.0,1629246121481,,,,false,false,false,false,false,false,false,,61
1629246121483,96200873,2021-08-08T00:00:00.0,1629246121483,,,,false,false,false,false,false,false,false,,61
1629246121485,96200873,2021-08-08T00:00:00.0,1629246121485,,,,false,false,false,false,false,false,false,,61
1629246121720,96200873,2021-08-16T00:00:00.0,1629246121720,,,,false,false,false,false,false,false,false,,61
1629246122728,96200873,2021-08-17T00:00:00.0,1629246122728,,,,false,false,false,false,false,false,false,,61
1629345213759,96200873,2021-08-18T00:00:00.0,1629345213759,,,,false,false,false,false,false,false,false,,61
1629398999221,96200873,2021-08-19T00:00:00.0,1629398999221,,,,false,false,false,false,false,false,false,,61
1630022924962,96200873,2021-08-20T00:00:00.0,1630022924962,,,,false,false,false,false,false,false,false,,61
1630022924964,96200873,2021-08-20T00:00:00.0,1630022924964,,,,false,false,false,false,false,false,false,,61
1630022925160,96200873,2021-08-23T00:00:00.0,1630022925160,,,,false,false,false,false,false,false,false,,62
1630022925162,96200873,2021-08-23T00:00:00.0,1630022925162,,,,false,false,false,false,false,false,false,,62
1630022925164,96200873,2021-08-23T00:00:00.0,1630022925164,,,,false,false,false,false,false,false,false,,62
1630022925350,96200873,2021-08-26T00:00:00.0,1630022925350,,,,false,false,false,false,false,false,false,,62
1630945633189,96200873,2021-08-28T00:00:00.0,1630945633189,,,,false,false,false,false,false,false,false,,62
1630945633192,96200873,2021-08-28T00:00:00.0,1630945633192,,,,false,false,false,false,false,false,false,,62
1630945633195,96200873,2021-08-28T00:00:00.0,1630945633195,,,,false,false,false,false,false,false,false,,62
1630945633197,96200873,2021-08-28T00:00:00.0,1630945633197,,,,false,false,false,false,false,false,false,,62
1637806094784,96200873,2021-09-07T00:00:00.0,1637806094784,,,,false,false,false,false,false,false,false,,61
1637806094787,96200873,2021-09-07T00:00:00.0,1637806094787,,,,false,false,false,false,false,false,false,,61
1637806094788,96200873,2021-09-07T00:00:00.0,1637806094788,,,,false,false,false,false,false,false,false,,62
1637806094790,96200873,2021-09-07T00:00:00.0,1637806094790,,,,false,false,false,false,false,false,false,,62
1637806094792,96200873,2021-09-07T00:00:00.0,1637806094792,,,,false,false,false,false,false,false,false,,62
1637806094794,96200873,2021-09-07T00:00:00.0,1637806094794,,,,false,false,false,false,false,false,false,,61
1637806094796,96200873,2021-09-07T00:00:00.0,1637806094796,,,,false,false,false,false,false,false,false,,61
1637806094798,96200873,2021-09-07T00:00:00.0,1637806094798,,,,false,false,false,false,false,false,false,,61
1637806094800,96200873,2021-09-07T00:00:00.0,1637806094800,,,,false,false,false,false,false,false,false,,61
1637806094802,96200873,2021-09-07T00:00:00.0,1637806094802,,,,false,false,false,false,false,false,false,,61
1637806094803,96200873,2021-09-07T00:00:00.0,1637806094803,,,,false,false,false,false,false,false,false,,62
1637806094805,96200873,2021-09-07T00:00:00.0,1637806094805,,,,false,false,false,false,false,false,false,,61
1637806094807,96200873,2021-09-07T00:00:00.0,1637806094807,,,,false,false,false,false,false,false,false,,63
1637806094809,96200873,2021-09-07T00:00:00.0,1637806094809,,,,false,false,false,false,false,false,false,,64
1637806094812,96200873,2021-09-07T00:00:00.0,1637806094812,,,,false,false,false,false,false,false,false,,64
1637806094814,96200873,2021-09-07T00:00:00.0,1637806094814,,,,false,false,false,false,false,false,false,,64
1637806094816,96200873,2021-09-07T00:00:00.0,1637806094816,,,,false,false,false,false,false,false,false,,63
1637806094817,96200873,2021-09-07T00:00:00.0,1637806094817,,,,false,false,false,false,false,false,false,,64
1637806094819,96200873,2021-09-07T00:00:00.0,1637806094819,,,,false,false,false,false,false,false,false,,64
1637806094820,96200873,2021-09-07T00:00:00.0,1637806094820,,,,false,false,false,false,false,false,false,,63
1637806095192,96200873,2021-11-08T00:00:00.0,1637806095192,,,,false,false,false,false,false,false,false,,64
1637806095194,96200873,2021-11-08T00:00:00.0,1637806095194,,,,false,false,false,false,false,false,false,,64
1637806095196,96200873,2021-11-08T00:00:00.0,1637806095196,,,,false,false,false,false,false,false,false,,64
1637806095198,96200873,2021-11-08T00:00:00.0,1637806095198,,,,false,false,false,false,false,false,false,,64
1637806095199,96200873,2021-11-08T00:00:00.0,1637806095199,,,,false,false,false,false,false,false,false,,64
1637806095201,96200873,2021-11-08T00:00:00.0,1637806095201,,,,false,false,false,false,false,false,false,,64
1637806095202,96200873,2021-11-08T00:00:00.0,1637806095202,,,,false,false,false,false,false,false,false,,64
1637806095204,96200873,2021-11-08T00:00:00.0,1637806095204,,,,false,false,false,false,false,false,false,,63
1637806095206,96200873,2021-11-08T00:00:00.0,1637806095206,,,,false,false,false,false,false,false,false,,63
1637806095208,96200873,2021-11-08T00:00:00.0,1637806095208,,,,false,false,false,false,false,false,false,,62
1637806095209,96200873,2021-11-08T00:00:00.0,1637806095209,,,,false,false,false,false,false,false,false,,62
1637793644521,96200873,2021-11-17T15:44:51.0,1637793644521,72600,CHANGE_LOG,2021-11-17T23:44:51.0,false,false,false,false,false,false,false,,
1637793650749,96200873,2021-11-24T14:40:50.718,1637793650749,70306,USER_SETTING,2021-11-24T22:40:50.718,false,false,false,false,false,false,false,,
1637793677637,96200873,2021-11-24T14:41:17.616,1637793677637,70306,USER_SETTING,2021-11-24T22:41:17.616,false,false,false,false,false,false,false,,
1637863582500,96200873,2021-11-25T00:00:00.0,1637863582500,,,,false,false,false,false,false,false,false,,62
1637947067017,96200873,2021-11-26T00:00:00.0,1637947067017,,,,false,false,false,false,false,false,false,,63
1638029236997,96200873,2021-11-27T00:00:00.0,1638029236997,,,,false,false,false,false,false,false,false,,62
1638228660846,96200873,2021-11-29T00:00:00.0,1638228660846,,,,false,false,false,false,false,false,false,,62
1638228660849,96200873,2021-11-29T00:00:00.0,1638228660849,,,,false,false,false,false,false,false,false,,63
1638401526296,96200873,2021-12-01T00:00:00.0,1638401526296,,,,false,false,false,false,false,false,false,,63
1638588764089,96200873,2021-12-02T00:00:00.0,1638588764089,,,,false,false,false,false,false,false,false,,62
1638640735558,96200873,2021-12-04T00:00:00.0,1638640735558,,,,false,false,false,false,false,false,false,,62
1638833420328,96200873,2021-12-06T00:00:00.0,1638833420328,,,,false,false,false,false,false,false,false,,62
1638833420330,96200873,2021-12-06T00:00:00.0,1638833420330,,,,false,false,false,false,false,false,false,,63
1638919795513,96200873,2021-12-07T00:00:00.0,1638919795513,,,,false,false,false,false,false,false,false,,62
1639006084343,96200873,2021-12-08T00:00:00.0,1639006084343,,,,false,false,false,false,false,false,false,,62
1639006084345,96200873,2021-12-08T00:00:00.0,1639006084345,,,,false,false,false,false,false,false,false,,63
1639096746769,96200873,2021-12-09T00:00:00.0,1639096746769,,,,false,false,false,false,false,false,false,,63
1639179117219,96200873,2021-12-10T00:00:00.0,1639179117219,,,,false,false,false,false,false,false,false,,63
1639179117221,96200873,2021-12-10T00:00:00.0,1639179117221,,,,false,false,false,false,false,false,false,,63
1639263015662,96200873,2021-12-11T00:00:00.0,1639263015662,,,,false,false,false,false,false,false,false,,63
1639439583399,96200873,2021-12-13T00:00:00.0,1639439583399,,,,false,false,false,false,false,false,false,,63
1639527621534,96200873,2021-12-14T00:00:00.0,1639527621534,,,,false,false,false,false,false,false,false,,63
1639611550868,96200873,2021-12-15T00:00:00.0,1639611550868,,,,false,false,false,false,false,false,false,,63
1639611550870,96200873,2021-12-15T00:00:00.0,1639611550870,,,,false,false,false,false,false,false,false,,64
1639698145477,96200873,2021-12-16T00:00:00.0,1639698145477,,,,false,false,false,false,false,false,false,,63
1639799192310,96200873,2021-12-17T00:00:00.0,1639799192310,,,,false,false,false,false,false,false,false,,63
1639849755899,96200873,2021-12-18T00:00:00.0,1639849755899,,,,false,false,false,false,false,false,false,,63
1640023556667,96200873,2021-12-20T00:00:00.0,1640023556667,,,,false,false,false,false,false,false,false,,63
1640109604198,96200873,2021-12-21T00:00:00.0,1640109604198,,,,false,false,false,false,false,false,false,,63
1640197480790,96200873,2021-12-22T00:00:00.0,1640197480790,,,,false,false,false,false,false,false,false,,63
1640282538994,96200873,2021-12-23T00:00:00.0,1640282538994,,,,false,false,false,false,false,false,false,,63
1640369029406,96200873,2021-12-24T00:00:00.0,1640369029406,,,,false,false,false,false,false,false,false,,63
1640627082269,96200873,2021-12-27T00:00:00.0,1640627082269,,,,false,false,false,false,false,false,false,,62
1640714145796,96200873,2021-12-28T00:00:00.0,1640714145796,,,,false,false,false,false,false,false,false,,62
1640796263380,96200873,2021-12-29T00:00:00.0,1640796263380,,,,false,false,false,false,false,false,false,,62
1640883103026,96200873,2021-12-30T00:00:00.0,1640883103026,,,,false,false,false,false,false,false,false,,61
1640969660610,96200873,2021-12-31T00:00:00.0,1640969660610,,,,false,false,false,false,false,false,false,,61
1641058326765,96200873,2022-01-01T00:00:00.0,1641058326765,,,,false,false,false,false,false,false,false,,61
1641253426497,96200873,2022-01-03T00:00:00.0,1641253426497,,,,false,false,false,false,false,false,false,,61
1641330562606,96200873,2022-01-04T00:00:00.0,1641330562606,,,,false,false,false,false,false,false,false,,62
1641427097891,96200873,2022-01-05T00:00:00.0,1641427097891,,,,false,false,false,false,false,false,false,,62
