prevDayMaxStressLevel,maxHeartRate,duration,avgSpeed
92.0,156.0,1564489.013671875,0.3176000118255615
96.0,182.0,3098367.919921875,0.3153000116348267
92.0,176.0,1536880.9814453125,0.3257999897003174
90.0,178.0,4604346.19140625,0.31770000457763675
94.0,162.0,2921000.9765625,0.33529999256134035
92.0,152.0,1518103.02734375,0.32679998874664307
97.0,178.0,2924947.998046875,0.3328999996185303
93.0,171.0,1573735.9619140625,0.3148000001907349
90.0,186.0,2923986.083984375,0.3335000038146973
88.0,182.0,2870397.94921875,0.3385999917984009
93.0,173.0,3136733.88671875,0.30950000286102297
90.0,166.0,3003043.9453125,0.32309999465942385
88.0,149.0,1561437.01171875,0.31740000247955324
91.0,178.0,2903491.943359375,0.3351999998092652
88.0,150.0,1536183.9599609375,0.3210000038146973
94.0,174.0,3202105.95703125,0.30339999198913575
90.0,154.0,3173986.083984375,0.3069000005722046
89.0,181.0,4366186.03515625,0.3348999977111817
87.0,180.0,3000608.88671875,0.3270999908447266
90.0,166.0,1523692.9931640625,0.325600004196167
95.0,180.0,2999666.9921875,0.32390000820159914
95.0,163.0,1533560.05859375,0.32290000915527345
98.0,170.0,3009745.1171875,0.32239999771118166
88.0,185.0,2969918.9453125,0.3286999940872193
93.0,183.0,4616331.0546875,0.31719999313354497
90.0,182.0,2908425.048828125,0.33480000495910645
94.0,150.0,1520706.0546875,0.3263999938964844
93.0,175.0,2928346.923828125,0.33029999732971194
93.0,154.0,1539010.009765625,0.3203000068664551
91.0,177.0,2946084.9609375,0.33029999732971194
90.0,179.0,4522403.80859375,0.325
89.0,164.0,2924854.98046875,0.33110001087188723
91.0,170.0,1562187.98828125,0.32460000514984133
93.0,173.0,2899861.083984375,0.32790000438690187
95.0,166.0,1468322.021484375,0.32369999885559086
84.0,161.0,2959919.921875,0.3288000106811524
90.0,172.0,1123204.9560546875,0.32890000343322756
90.0,172.0,1830848.0224609375,0.3099999904632569
90.0,172.0,4425963.8671875,0.3265000104904175
94.0,158.0,2932805.908203125,0.32260000705718994
95.0,171.0,1532275.0244140625,0.32260000705718994
85.0,180.0,2850487.060546875,0.34119999408721924
88.0,163.0,1482880.0048828125,0.3319999933242798
87.0,178.0,2922674.072265625,0.33159999847412114
91.0,175.0,2917531.005859375,0.3323999881744385
97.0,158.0,4484269.04296875,0.3263999938964844
89.0,136.0,1412365.966796875,0.32109999656677246
99.0,174.0,2983137.939453125,0.3273000001907349
84.0,157.0,1497046.9970703125,0.32690000534057617
93.0,161.0,2974471.923828125,0.3306999921798706
96.0,172.0,2970322.998046875,0.3255000114440918
96.0,182.0,4427993.1640625,0.32929999828338624
93.0,127.0,2876793.9453125,0.3338000059127808
87.0,163.0,1975454.9560546875,0.3316999912261963
84.0,166.0,2884799.072265625,0.3371999979019165
93.0,148.0,1520363.037109375,0.32349998950958253
90.0,175.0,2959782.958984375,0.32909998893737796
93.0,176.0,3011875.0,0.32339999675750736
93.0,172.0,4482182.12890625,0.3270999908447266
84.0,179.0,2805633.056640625,0.3470999956130982
93.0,166.0,1462494.0185546875,0.334500002861023
89.0,177.0,2895100.09765625,0.33510000705718995
97.0,161.0,1534355.95703125,0.3204999923706055
90.0,156.0,2991802.001953125,0.33059999942779544
96.0,167.0,2984172.119140625,0.3263999938964844
86.0,174.0,4430178.22265625,0.3285000085830689
90.0,171.0,2864645.99609375,0.341599988937378
95.0,151.0,1480802.001953125,0.3319000005722046
90.0,176.0,2831447.021484375,0.341599988937378
